#,ALPX [1/K]
Temperature_C,cte_1k
20.0,9.428107693745796e-06
40.0,9.445901490073017e-06
60.0,9.485419628096119e-06
80.0,9.64367709581454e-06
100.0,1.0179672634899246e-05
120.0,1.0736563406318366e-05
140.0,1.0960637000621318e-05
160.0,1.1111102389065202e-05
180.0,1.1264042072782523e-05
200.0,1.1413513430878856e-05
220.0,1.1560531967495483e-05
240.0,1.1710256989077886e-05
260.0,1.1865725974427875e-05
280.0,1.202957173471153e-05
300.0,1.2200763360872306e-05
320.0,1.2379103440448448e-05
340.0,1.2570055709226555e-05
360.0,1.277935313871627e-05
380.0,1.3010839684931374e-05
400.0,1.3266732367543044e-05
420.0,1.3546735030313569e-05
440.0,1.3845617787607879e-05
460.0,1.4151767594133246e-05
480.0,1.4450373541300287e-05
500.0,1.4729713600207094e-05
520.0,1.4984289877475043e-05
540.0,1.5213246576382344e-05
560.0,1.54176444178448e-05
580.0,1.559894274259892e-05
600.0,1.5758594833513016e-05
620.0,1.589807304049449e-05
640.0,1.6018940394390066e-05
660.0,1.6122863906038726e-05
680.0,1.6211576662203785e-05
700.0,1.628681797100371e-05
720.0,1.63502740256533e-05
740.0,1.640353069979498e-05
760.0,1.644804207931355e-05
780.0,1.6485113820011093e-05
800.0,1.651589845141693e-05
