Temperature_C,Density_kg_m3,Standard_Deviation,Test_Method,Specimen_ID,Rubber_Content_Percent,Notes
20,2420,15,Geometric_Measurement,RC-D-01,0,Initial_density
20,2285,18,Geometric_Measurement,RC-D-02,10,Initial_density
20,2165,20,Geometric_Measurement,RC-D-03,20,Initial_density
20,2055,22,Geometric_Measurement,RC-D-04,30,Initial_density
100,2415,16,TGA,RC-D-01,0,Minimal_mass_loss
100,2280,19,TGA,RC-D-02,10,Minimal_mass_loss
100,2160,21,TGA,RC-D-03,20,Minimal_mass_loss
100,2050,23,TGA,RC-D-04,30,Minimal_mass_loss
200,2410,17,TGA,RC-D-01,0,Slight_dehydration
200,2272,20,TGA,RC-D-02,10,Slight_dehydration
200,2152,22,TGA,RC-D-03,20,Slight_dehydration
200,2042,24,TGA,RC-D-04,30,Slight_dehydration
300,2395,18,TGA,RC-D-01,0,C-S-H_dehydration
300,2250,22,TGA,RC-D-02,10,C-S-H_dehydration_rubber_degradation
300,2128,24,TGA,RC-D-03,20,C-S-H_dehydration_rubber_degradation
300,2018,26,TGA,RC-D-04,30,C-S-H_dehydration_rubber_degradation
400,2365,20,TGA,RC-D-01,0,Progressive_dehydration
400,2210,24,TGA,RC-D-02,10,Rubber_volatilization
400,2085,26,TGA,RC-D-03,20,Rubber_volatilization
400,1972,28,TGA,RC-D-04,30,Rubber_volatilization
500,2320,22,TGA,RC-D-01,0,Portlandite_decomposition
500,2155,26,TGA,RC-D-02,10,Major_rubber_loss
500,2025,28,TGA,RC-D-03,20,Major_rubber_loss
500,1908,30,TGA,RC-D-04,30,Major_rubber_loss
600,2265,25,TGA,RC-D-01,0,Continuing_dehydration
600,2088,28,TGA,RC-D-02,10,Complete_rubber_burnout
600,1952,30,TGA,RC-D-03,20,Complete_rubber_burnout
600,1832,32,TGA,RC-D-04,30,Complete_rubber_burnout
700,2195,28,TGA,RC-D-01,0,Carbonate_decomposition_starts
700,2012,30,TGA,RC-D-02,10,Porous_matrix
700,1870,32,TGA,RC-D-03,20,Porous_matrix
700,1748,34,TGA,RC-D-04,30,Porous_matrix
800,2115,32,TGA,RC-D-01,0,Carbonate_decomposition
800,1925,33,TGA,RC-D-02,10,High_porosity
800,1778,35,TGA,RC-D-03,20,High_porosity
800,1655,37,TGA,RC-D-04,30,High_porosity
900,2025,35,TGA,RC-D-01,0,Severe_decomposition
900,1828,36,TGA,RC-D-02,10,Very_high_porosity
900,1678,38,TGA,RC-D-03,20,Very_high_porosity
900,1553,40,TGA,RC-D-04,30,Very_high_porosity
1000,1925,38,TGA,RC-D-01,0,Near_complete_decomposition
1000,1720,39,TGA,RC-D-02,10,Skeletal_structure
1000,1568,41,TGA,RC-D-03,20,Skeletal_structure
1000,1442,43,TGA,RC-D-04,30,Skeletal_structure
