material,temperature_C,pO2_atm,log10_pO2,delta_nonstoichiometry,provenance
LSCF,600,1.0e+00,0.0,0.009,fabricated_from_calibrated_range
LSCF,600,1.0e-05,-5.0,0.0135,fabricated_from_calibrated_range
LSCF,600,1.0e-10,-10.0,0.018,fabricated_from_calibrated_range
LSCF,600,1.0e-15,-15.0,0.0225,fabricated_from_calibrated_range
LSCF,600,1.0e-20,-20.0,0.027,fabricated_from_calibrated_range
LSCF,700,1.0e+00,0.0,0.015667,fabricated_from_calibrated_range
LSCF,700,1.0e-05,-5.0,0.020167,fabricated_from_calibrated_range
LSCF,700,1.0e-10,-10.0,0.024667,fabricated_from_calibrated_range
LSCF,700,1.0e-15,-15.0,0.029167,fabricated_from_calibrated_range
LSCF,700,1.0e-20,-20.0,0.033667,fabricated_from_calibrated_range
LSCF,800,1.0e+00,0.0,0.022333,fabricated_from_calibrated_range
LSCF,800,1.0e-05,-5.0,0.026833,fabricated_from_calibrated_range
LSCF,800,1.0e-10,-10.0,0.031333,fabricated_from_calibrated_range
LSCF,800,1.0e-15,-15.0,0.035833,fabricated_from_calibrated_range
LSCF,800,1.0e-20,-20.0,0.040333,fabricated_from_calibrated_range
LSCF,900,1.0e+00,0.0,0.029,fabricated_from_calibrated_range
LSCF,900,1.0e-05,-5.0,0.0335,fabricated_from_calibrated_range
LSCF,900,1.0e-10,-10.0,0.038,fabricated_from_calibrated_range
LSCF,900,1.0e-15,-15.0,0.0425,fabricated_from_calibrated_range
LSCF,900,1.0e-20,-20.0,0.047,fabricated_from_calibrated_range
