x,y,t
7.739560485559633385e-01,7.407727546291889009e-01,2.914197555187794109e-01
4.388784397520523184e-01,9.958064656720844177e-01,1.208364875078110634e-01
8.585979199113824567e-01,4.097730875775873471e-02,1.073728849157048471e-01
6.973680290593639031e-01,2.449194346614338436e-01,9.343491855526853129e-03
9.417734788764953180e-02,5.977407483835645019e-01,9.783563510022853515e-01
9.756223516367559245e-01,4.151944533252637237e-01,6.550809021847191493e-01
7.611397019903529682e-01,6.375562065466429118e-01,3.212371192058078861e-01
7.860643052769538119e-01,5.864043331387857050e-01,5.790785971200488325e-01
1.281136326755458743e-01,7.879894678995094104e-01,6.190739499313963057e-01
4.503859378955671344e-01,7.090292014074595084e-02,1.829289596110010852e-01
3.707980242325812359e-01,4.406160699284483728e-01,2.888681815535573127e-01
9.267649888486018117e-01,8.600537896898003964e-01,5.472777539537825309e-01
6.438651200806645436e-01,3.627619053469616217e-01,8.397944994077568559e-01
8.227616132708299723e-01,5.037888052702453878e-01,1.295886651821421820e-01
4.434141988273311297e-01,2.157862629363327400e-02,8.583357452361772832e-01
2.272387217847768870e-01,2.241738950842985245e-01,6.089861087129860850e-01
5.545847870158348014e-01,4.636551215823465633e-01,4.896593441869984131e-01
6.381725610417532391e-02,3.989681262643436366e-01,1.439403998849330124e-01
8.276311719925820709e-01,7.146548769101429555e-01,5.499038569824861167e-01
6.316643991220648457e-01,6.118799815915444418e-01,3.536316077630010657e-01
7.580877400853738290e-01,8.802825221644986486e-01,1.889671656876503736e-01
3.545259681298683629e-01,8.547707016974011029e-01,8.799734463008906937e-01
9.706980243949032694e-01,2.412198407663095345e-01,4.605726507627514454e-01
8.931211213221976752e-01,1.763872903387098123e-02,7.975603222692884131e-02
7.783834970737618653e-01,8.544707697037623451e-01,3.021386921520970992e-01
1.946387078519675740e-01,3.291208641050329398e-01,1.815048801432497250e-01
4.667210037270341783e-01,3.471097092406000284e-01,9.392451655011282430e-01
4.380376578722877667e-02,1.583947981984741293e-01,2.430619712128638810e-01
1.542894920675478287e-01,6.930072661472327367e-01,5.063967075617241687e-01
6.830489532424546262e-01,2.801089183607947675e-01,7.455224911203105487e-01
7.447621559078171360e-01,1.767431010622436682e-01,1.585108763062283987e-01
9.675097324342100125e-01,5.033907410615782174e-01,4.374875956063974947e-01
3.258253581381519437e-01,7.504159059214424721e-01,6.532814027431532722e-01
3.704597060348688853e-01,2.695985975249682864e-01,8.819537243677824101e-01
4.695558112758079217e-01,7.220390009888507654e-01,6.541031721724496206e-01
1.894713590842856954e-01,4.619751096710713600e-01,8.008384810057733727e-02
1.299215053354716431e-01,4.037727232391018495e-01,3.215614631121980205e-01
4.757049262259337441e-01,3.595208681361691250e-01,3.509322018649655428e-01
2.269093490508841127e-01,1.455809653194598541e-01,3.882734492297782447e-01
6.698139946825103497e-01,3.326337668492275190e-01,9.416185392253298980e-01
4.371519188723307359e-01,8.792515306274819586e-01,3.570335215972320064e-02
8.326781960578374386e-01,1.021669244720586622e-01,3.021736143847664202e-01
7.002651020022491180e-01,9.583000151018027379e-01,4.924559213334843699e-01
3.123666413820410659e-01,1.074965274878179056e-01,8.639602424442893724e-02
8.322598013952010598e-01,3.620316422993538064e-01,4.835379607307612737e-01
8.047643574968018632e-01,6.063061738005441903e-01,1.071289172105510668e-01
3.874783790301744579e-01,8.378414036081486271e-01,8.377822146990704377e-01
2.883281039302441062e-01,1.435828180740039706e-01,2.700843918682261924e-01
6.824955039749754926e-01,1.411022240584318688e-01,5.230111825052223828e-01
1.397524836093098077e-01,6.283781246617257121e-01,6.183178543705979413e-01
1.999082024751083209e-01,2.927466324047779400e-01,3.057256170571150955e-01
7.362269751005512397e-03,6.445020970179904385e-01,3.513146997828293649e-01
7.869243775021383946e-01,8.205832029295307972e-01,5.105160539144280030e-01
6.648508565920321356e-01,7.687051098754504874e-02,8.054346988451914768e-01
7.051653786263351043e-01,8.444941230777825991e-01,4.526918770158282479e-01
7.807290310219678897e-01,3.758535635444137935e-02,4.908959243354747981e-01
4.589157755383399540e-01,8.988261852888129733e-01,5.958649365087594907e-01
5.687411959528937411e-01,9.756181416000316853e-01,4.252114398295503417e-01
1.397969981276574458e-01,6.674552024607826040e-01,7.260783562763256649e-01
1.145300735359734423e-01,9.842553049441739033e-01,4.907607294123095265e-03
6.684029617904716503e-01,8.219918421286038779e-01,4.830197345132503095e-01
4.710962061431325232e-01,4.436550013381290736e-02,9.230161800775404934e-01
5.652361064811888269e-01,3.810944202466859387e-03,6.159037681539978326e-01
7.649988574160255794e-01,2.079848942226558695e-02,4.863997424449232332e-01
6.347183200005908077e-01,4.519069599193806797e-01,7.720248354714663863e-01
5.535794006579958237e-01,6.233826111176643536e-01,3.930007425318918779e-01
5.592071607454135451e-01,4.814718227005290174e-01,4.672456147234486101e-01
3.039500980626121951e-01,6.771303258145621173e-01,1.951597214074823894e-01
3.081783456793940612e-02,4.496026341128785964e-01,1.242041509079447881e-01
4.367173892323623630e-01,4.256380311038865383e-02,2.552272417135503790e-02
2.145846728195291986e-01,2.261667048510206390e-01,7.315089038554331013e-01
4.085286437246361535e-01,9.926242366047102195e-01,4.681901141789189813e-01
8.534030732681661124e-01,3.458638376986649110e-01,9.393532495969783014e-01
2.339394858653407461e-01,3.247657377447293880e-01,1.768160496909666479e-01
5.830274168906601773e-02,1.527920490191743141e-01,2.439834296840096561e-01
2.813838920219965400e-01,9.871437221189596212e-01,6.387259465346254439e-01
2.935937577666836162e-01,2.304593215925987426e-01,5.459768563068800873e-02
6.619165147268950555e-01,6.468265672538533462e-01,5.034132540191461613e-01
5.570321523412783415e-01,4.204745815219534943e-02,1.235815174114762716e-01
7.838982091064135016e-01,6.647233006335517835e-02,1.613974542564877712e-01
6.643135403273875417e-01,7.167516973200185326e-01,5.120998733428421268e-01
4.063868614400705237e-01,6.351681628467242824e-01,5.690708093124169364e-01
8.140203846660346576e-01,6.801623956206553911e-01,2.120347449180229882e-01
1.669729199077039095e-01,2.309704071462720387e-01,2.712386158681111548e-01
2.271207313386047755e-02,9.848889825222407746e-01,2.841075876337973982e-01
9.004786077564175262e-02,5.583751621582455638e-01,1.418098279974282505e-01
7.223593505964502892e-01,9.695481722686885018e-01,9.657208521747049357e-01
4.618772302513873829e-01,1.641705529753801907e-01,6.921999308588190347e-01
1.612717790336017920e-01,4.050995098412798479e-01,1.108418314271844007e-01
5.010447751033635377e-01,3.356855189884617729e-01,3.571601819218180873e-01
1.523121027131684180e-01,7.550749267058624037e-01,1.726027956000066865e-01
6.963203750777360312e-01,7.475714361050912471e-01,2.343861333249182000e-01
4.461562755740307029e-01,4.865437933197033216e-01,9.394777761300473484e-01
3.810212260964824793e-01,1.614800421733630920e-02,1.367529532953447591e-01
3.015120891478765275e-01,1.752057091799444910e-01,8.798117296833914969e-01
6.302825931188884567e-01,5.026566710966384743e-02,8.418350348521121962e-01
3.618126105533904235e-01,8.470145692491788392e-01,7.436682519047838058e-01
8.764991931610099929e-02,2.897715672977670964e-01,4.967220239208851584e-01
1.180059021205153158e-01,1.179226369006731723e-01,2.583676547706794668e-01
9.618976645495145306e-01,3.541723652815911283e-01,8.309798656928384375e-01
9.085806907076070527e-01,7.728931616636269819e-02,8.340749656393157130e-01
