sample_id,scenario,temperature_C,rho_assumed,Gc_YSZ_GDC,Gc_GDC_LSCF,Gc_YSZ_GDC_800C,Gc_GDC_LSCF_800C,R_system_total_J_m2
1,rho0.50_coupled,25,0.5,1.0593496517609753,0.9083553710052896,,,1.967705022766265
2,rho0.50_coupled,25,0.5,1.5363369400084574,1.7593562098008253,,,3.2956931498092827
3,rho0.50_coupled,25,0.5,1.6310852308467205,1.3165434342191742,,,2.9476286650658947
4,rho0.50_coupled,25,0.5,1.246041678012721,1.3834150457100107,,,2.6294567237227318
5,rho0.50_coupled,25,0.5,1.4039024861261964,1.1701698252337445,,,2.5740723113599406
6,rho0.50_coupled,25,0.5,1.875737835130016,1.3336084706909033,,,3.2093463058209193
7,rho0.50_coupled,25,0.5,1.8562402837274605,1.4501791985222783,,,3.306419482249739
8,rho0.50_coupled,25,0.5,1.4517267498403235,1.3858146158904285,,,2.837541365730752
9,rho0.50_coupled,25,0.5,1.2325461713835748,1.1983552148598267,,,2.4309013862434012
10,rho0.50_coupled,25,0.5,1.5877762301992484,1.532737020873153,,,3.1205132510724014
11,rho0.50_coupled,25,0.5,1.8927637117951146,1.6252005240612306,,,3.517964235856345
12,rho0.50_coupled,25,0.5,1.5409287274575718,1.2204448516848379,,,2.7613735791424094
13,rho0.50_coupled,25,0.5,1.7070042350241494,1.8468568300849388,,,3.5538610651090883
14,rho0.50_coupled,25,0.5,1.6951411400554295,1.257477466222415,,,2.9526186062778446
15,rho0.50_coupled,25,0.5,2.1377056169347304,1.2956194258042266,,,3.4333250427389572
16,rho0.50_coupled,25,0.5,2.0322176127350615,1.475437469462285,,,3.5076550821973465
17,rho0.50_coupled,25,0.5,1.5682907606349292,1.2880193073062292,,,2.856310067941158
18,rho0.50_coupled,25,0.5,1.4162110267244834,1.5254130027454627,,,2.941624029469946
19,rho0.50_coupled,25,0.5,0.8271087013700872,0.9333346376868851,,,1.7604433390569723
20,rho0.50_coupled,25,0.5,1.588689984044565,1.3738784539579505,,,2.9625684380025152
21,rho0.50_coupled,25,0.5,1.210440585956292,1.404519061854283,,,2.6149596478105748
22,rho0.50_coupled,25,0.5,1.6519766701181777,1.5302805507959714,,,3.182257220914149
23,rho0.50_coupled,25,0.5,1.7351310674436542,1.406775586804735,,,3.1419066542483893
24,rho0.50_coupled,25,0.5,1.139309811846808,1.5458522145651503,,,2.685162026411958
25,rho0.50_coupled,25,0.5,1.8703241279986906,1.4487796454250672,,,3.319103773423758
26,rho0.50_coupled,25,0.5,1.5088599418630746,1.5132149683397962,,,3.022074910202871
27,rho0.50_coupled,25,0.5,0.9902442400563831,1.3323785189538722,,,2.3226227590102555
28,rho0.50_coupled,25,0.5,1.4323255914237294,1.2168885142398187,,,2.649214105663548
29,rho0.50_coupled,25,0.5,2.1373778949177558,1.6697824423820644,,,3.80716033729982
30,rho0.50_coupled,25,0.5,1.6825002260015365,1.5151760669118488,,,3.1976762929133855
31,rho0.50_coupled,25,0.5,1.1941158169504171,1.0726063566674944,,,2.2667221736179117
32,rho0.50_coupled,25,0.5,1.8122258475588175,1.4332680118574008,,,3.2454938594162184
33,rho0.50_coupled,25,0.5,1.8550024662697038,1.5495508017477988,,,3.4045532680175024
34,rho0.50_coupled,25,0.5,1.5989335739693895,1.404944129210943,,,3.0038777031803328
35,rho0.50_coupled,25,0.5,1.3992100391775883,1.6774492006714872,,,3.0766592398490755
36,rho0.50_coupled,25,0.5,1.8425920366847481,1.5041210781380794,,,3.3467131148228275
37,rho0.50_coupled,25,0.5,1.3082760269248803,1.121953912669152,,,2.4302299395940326
38,rho0.50_coupled,25,0.5,1.416833400269228,0.8678310841456829,,,2.284664484414911
39,rho0.50_coupled,25,0.5,1.410517014408816,1.0283201081861928,,,2.4388371225950087
40,rho0.50_coupled,25,0.5,1.6067633015007816,1.1651056010875966,,,2.7718689025883783
41,rho0.50_coupled,25,0.5,1.747767103630277,1.7664642381811764,,,3.5142313418114535
42,rho0.50_coupled,25,0.5,1.2613593462443897,1.7082771467187015,,,2.969636492963091
43,rho0.50_coupled,25,0.5,1.6483165197573828,1.5162335508921685,,,3.1645500706495513
44,rho0.50_coupled,25,0.5,1.4403763322776877,1.4286873664949546,,,2.869063698772642
45,rho0.50_coupled,25,0.5,1.0142955791794046,0.8666085528678944,,,1.880904132047299
46,rho0.50_coupled,25,0.5,1.7071118132143164,1.6349294336617923,,,3.342041246876109
47,rho0.50_coupled,25,0.5,1.1314902228736066,1.3312537520015093,,,2.462743974875116
48,rho0.50_coupled,25,0.5,1.7796577425400062,1.3572631573529794,,,3.136920899892986
49,rho0.50_coupled,25,0.5,1.4089613765919893,1.6187396533956362,,,3.0277010299876252
50,rho0.50_coupled,25,0.5,0.9472142566512306,1.5887226176998799,,,2.5359368743511106
51,rho0.50_coupled,25,0.5,1.172237910908194,1.369541924814831,,,2.541779835723025
52,rho0.50_coupled,25,0.5,1.220963558107454,1.1120502482016645,,,2.3330138063091184
53,rho0.50_coupled,25,0.5,1.8877736210246892,1.4108959246514312,,,3.2986695456761206
54,rho0.50_coupled,25,0.5,1.2861388759803414,1.1354414220439246,,,2.421580298024266
55,rho0.50_coupled,25,0.5,1.6526801270469342,1.1984944497266006,,,2.851174576773535
56,rho0.50_coupled,25,0.5,1.3904763477956525,1.5057282841840678,,,2.89620463197972
57,rho0.50_coupled,25,0.5,1.8314131298324656,1.3339979177112329,,,3.1654110475436985
58,rho0.50_coupled,25,0.5,1.8279938985704496,1.3974447856823735,,,3.225438684252823
