mix_design,rubber_content_pct,specimen_number,temperature_C,thermal_strain_microstrain,instantaneous_CTE_per_C
RC-0,0,1,23.0,6.5,11.0
RC-0,0,1,30.8,67.4,11.0
RC-0,0,1,38.7,169.8,11.0
RC-0,0,1,46.5,250.2,11.0
RC-0,0,1,54.4,341.4,11.0
RC-0,0,1,62.2,425.0,11.0
RC-0,0,1,70.1,517.5,11.0
RC-0,0,1,77.9,601.0,11.0
RC-0,0,1,85.8,687.2,11.0
RC-0,0,1,93.6,788.1,11.0
RC-0,0,1,101.5,868.9,11.0
RC-0,0,1,109.3,942.6,11.0
RC-0,0,1,117.2,1030.4,11.0
RC-0,0,1,125.0,1127.3,11.0
RC-0,0,1,132.9,1213.6,11.0
RC-0,0,1,140.7,1289.0,11.0
RC-0,0,1,148.6,1379.0,11.0
RC-0,0,1,156.4,1486.1,11.0
RC-0,0,1,164.3,1548.1,11.0
RC-0,0,1,172.1,1659.4,11.0
RC-0,0,1,180.0,1737.7,11.0
RC-0,0,1,187.8,1830.3,11.0
RC-0,0,1,195.7,1893.0,11.0
RC-0,0,1,203.5,1985.7,11.0
RC-0,0,1,211.4,2072.9,11.0
RC-0,0,1,219.2,2178.4,11.0
RC-0,0,1,227.1,2251.0,11.0
RC-0,0,1,234.9,2353.3,11.0
RC-0,0,1,242.8,2441.9,11.0
RC-0,0,1,250.6,2523.7,11.0
RC-0,0,1,258.5,2626.0,11.0
RC-0,0,1,266.3,2702.8,11.0
RC-0,0,1,274.2,2798.7,11.0
RC-0,0,1,282.0,2874.0,11.0
RC-0,0,1,289.8,2960.2,11.0
RC-0,0,1,297.7,3063.1,11.0
RC-0,0,1,305.5,3148.3,11.0
RC-0,0,1,313.4,3234.7,11.0
RC-0,0,1,321.2,3316.9,11.0
RC-0,0,1,329.1,3423.9,11.0
RC-0,0,1,336.9,3485.3,11.0
RC-0,0,1,344.8,3572.7,11.0
RC-0,0,1,352.6,3681.8,11.0
RC-0,0,1,360.5,3768.8,11.0
RC-0,0,1,368.3,3851.6,11.0
RC-0,0,1,376.2,3932.9,11.0
RC-0,0,1,384.0,4028.6,11.0
RC-0,0,1,391.9,4128.4,11.0
RC-0,0,1,399.7,4224.0,11.0
RC-0,0,1,407.6,4270.6,11.08
RC-0,0,1,415.4,4372.5,11.17
RC-0,0,1,423.3,4462.8,11.26
RC-0,0,1,431.1,4576.1,11.34
RC-0,0,1,439.0,4628.6,11.43
RC-0,0,1,446.8,4753.4,11.52
RC-0,0,1,454.7,4841.9,11.6
RC-0,0,1,462.5,4958.4,11.69
RC-0,0,1,470.4,5055.9,11.77
RC-0,0,1,478.2,5144.8,11.86
RC-0,0,1,486.1,5226.9,11.95
RC-0,0,1,493.9,5339.8,12.03
RC-0,0,1,501.8,5445.1,12.12
RC-0,0,1,509.6,5542.1,12.21
RC-0,0,1,517.5,5673.7,12.29
RC-0,0,1,525.3,5755.9,12.38
RC-0,0,1,533.2,5899.6,12.46
RC-0,0,1,541.0,6010.5,12.55
RC-0,0,1,548.8,6099.3,12.64
RC-0,0,1,556.7,6220.0,12.72
RC-0,0,1,564.5,6330.9,12.81
RC-0,0,1,572.4,6456.9,12.9
RC-0,0,1,580.2,6578.2,12.98
RC-0,0,1,588.1,6687.0,13.07
RC-0,0,1,595.9,6809.4,13.16
RC-0,0,1,603.8,6920.1,13.24
RC-0,0,1,611.6,7053.7,13.33
RC-0,0,1,619.5,7175.3,13.41
RC-0,0,1,627.3,7290.2,13.5
RC-0,0,1,635.2,7426.1,13.59
RC-0,0,1,643.0,7550.8,13.67
RC-0,0,1,650.9,7678.2,13.76
RC-0,0,1,658.7,7803.9,13.85
RC-0,0,1,666.6,7948.4,13.93
RC-0,0,1,674.4,8073.7,14.02
RC-0,0,1,682.3,8211.8,14.1
RC-0,0,1,690.1,8363.7,14.19
RC-0,0,1,698.0,8497.1,14.28
RC-0,0,1,705.8,8620.1,14.36
RC-0,0,1,713.7,8773.8,14.45
RC-0,0,1,721.5,8913.4,14.54
RC-0,0,1,729.4,9072.3,14.62
RC-0,0,1,737.2,9213.6,14.71
RC-0,0,1,745.1,9330.3,14.8
RC-0,0,1,752.9,9501.4,14.88
RC-0,0,1,760.8,9654.0,14.97
RC-0,0,1,768.6,9796.8,15.05
RC-0,0,1,776.5,9939.1,15.14
RC-0,0,1,784.3,10119.2,15.23
RC-0,0,1,792.2,10255.5,15.31
RC-0,0,1,800.0,10424.1,15.4
RC-0,0,2,23.0,13.5,11.0
RC-0,0,2,30.8,91.0,11.0
RC-0,0,2,38.7,166.9,11.0
RC-0,0,2,46.5,258.8,11.0
RC-0,0,2,54.4,343.1,11.0
RC-0,0,2,62.2,419.5,11.0
RC-0,0,2,70.1,524.5,11.0
RC-0,0,2,77.9,620.0,11.0
RC-0,0,2,85.8,687.7,11.0
RC-0,0,2,93.6,798.6,11.0
RC-0,0,2,101.5,847.8,11.0
RC-0,0,2,109.3,960.2,11.0
RC-0,0,2,117.2,1052.7,11.0
RC-0,0,2,125.0,1120.3,11.0
RC-0,0,2,132.9,1206.8,11.0
RC-0,0,2,140.7,1305.4,11.0
RC-0,0,2,148.6,1386.4,11.0
RC-0,0,2,156.4,1447.7,11.0
RC-0,0,2,164.3,1545.6,11.0
RC-0,0,2,172.1,1640.2,11.0
RC-0,0,2,180.0,1713.0,11.0
RC-0,0,2,187.8,1808.3,11.0
RC-0,0,2,195.7,1885.9,11.0
RC-0,0,2,203.5,1983.7,11.0
RC-0,0,2,211.4,2074.0,11.0
RC-0,0,2,219.2,2170.6,11.0
RC-0,0,2,227.1,2255.7,11.0
RC-0,0,2,234.9,2351.0,11.0
RC-0,0,2,242.8,2439.0,11.0
RC-0,0,2,250.6,2534.5,11.0
RC-0,0,2,258.5,2621.8,11.0
RC-0,0,2,266.3,2709.4,11.0
RC-0,0,2,274.2,2821.5,11.0
RC-0,0,2,282.0,2882.4,11.0
RC-0,0,2,289.8,2993.3,11.0
RC-0,0,2,297.7,3059.9,11.0
RC-0,0,2,305.5,3143.2,11.0
RC-0,0,2,313.4,3228.5,11.0
