mix_design,condition,property,n_specimens,mean,std_dev,min,max,CoV_percent
RC-0,ambient_28d,compressive_strength_MPa,3,46.25,1.21,45.18,47.57,2.6
RC-10,ambient_28d,compressive_strength_MPa,3,37.13,1.62,35.47,38.7,4.4
RC-15,ambient_28d,compressive_strength_MPa,3,31.41,3.46,27.92,34.83,11.0
RC-20,ambient_28d,compressive_strength_MPa,3,27.91,2.41,25.46,30.28,8.6
RC-20-SF,ambient_28d,compressive_strength_MPa,3,34.6,0.57,34.14,35.24,1.7
RC-25-SF,ambient_28d,compressive_strength_MPa,3,29.7,3.04,26.2,31.66,10.2
all_mixes,23C_furnace,strength_retention_percent,18,100.0,0.0,100.0,100.0,0.0
all_mixes,23C_water_quench,strength_retention_percent,18,100.0,0.0,100.0,100.0,0.0
all_mixes,200C_furnace,strength_retention_percent,18,92.0,1.7,90.0,95.0,1.8
all_mixes,200C_water_quench,strength_retention_percent,18,92.0,1.7,90.0,95.0,1.8
all_mixes,400C_furnace,strength_retention_percent,18,61.7,7.1,55.0,75.0,11.5
all_mixes,400C_water_quench,strength_retention_percent,18,49.9,5.7,44.5,60.7,11.5
all_mixes,600C_furnace,strength_retention_percent,18,40.2,3.4,35.0,45.0,8.5
all_mixes,600C_water_quench,strength_retention_percent,18,31.7,2.7,27.6,35.6,8.6
all_mixes,800C_furnace,strength_retention_percent,18,23.3,4.9,20.0,30.0,20.8
all_mixes,800C_water_quench,strength_retention_percent,18,18.0,3.7,15.4,23.1,20.8
