Property,Value,Unit,Test_Standard,Notes
Particle_Size_Range,0.5-4.0,mm,ASTM D6913,Crumb rubber from tire recycling
Specific_Gravity,1.15,-,ASTM D792,Lower than natural aggregates
Bulk_Density,650,kg/m3,ASTM C29,Loose bulk density
Absorption,0.8,percent,ASTM C127,24-hour absorption
Surface_Texture,Rough,-,Visual,Irregular torn surface
Rubber_Content,99.2,percent,ASTM D297,Natural and synthetic rubber
Steel_Content,0.3,percent,Magnetic separation,Residual steel fibers
Textile_Content,0.5,percent,Manual separation,Fabric fibers
Ash_Content,8.2,percent,ASTM D6370,Inorganic content
Volatile_Matter,65.8,percent,ASTM D6370,Organic compounds
Fixed_Carbon,25.7,percent,ASTM D6370,Carbon residue
Tensile_Strength,2.1,MPa,ASTM D412,Individual particle strength
Elongation_at_Break,450,percent,ASTM D412,Flexibility characteristic
Hardness_Shore_A,65,-,ASTM D2240,Surface hardness
