temperature_C,youngs_modulus_Pa,youngs_modulus_GPa,poissons_ratio
25.0,200000000000.0,200.0,0.23
30.0,199812500000.0,199.8125,0.23
35.0,199625000000.0,199.625,0.23
40.0,199437500000.0,199.4375,0.23
45.0,199250000000.0,199.25,0.23
50.0,199062500000.0,199.0625,0.23
55.0,198875000000.0,198.875,0.23
60.0,198687500000.0,198.6875,0.23
65.0,198500000000.0,198.5,0.23
70.0,198312500000.0,198.3125,0.23
75.0,198125000000.0,198.125,0.23
80.0,197937500000.0,197.9375,0.23
85.0,197750000000.0,197.75,0.23
90.0,197562500000.0,197.5625,0.23
95.0,197375000000.0,197.375,0.23
100.0,197187500000.0,197.1875,0.23
105.0,197000000000.0,197.0,0.23
110.0,196812500000.0,196.8125,0.23
115.0,196625000000.0,196.625,0.23
120.0,196437500000.0,196.4375,0.23
125.0,196250000000.0,196.25,0.23
130.0,196062500000.0,196.0625,0.23
135.0,195875000000.0,195.875,0.23
140.0,195687500000.0,195.6875,0.23
145.0,195500000000.0,195.5,0.23
150.0,195312500000.0,195.3125,0.23
155.0,195125000000.0,195.125,0.23
160.0,194937500000.0,194.9375,0.23
165.0,194750000000.0,194.75,0.23
170.0,194562500000.0,194.5625,0.23
175.0,194375000000.0,194.375,0.23
180.0,194187500000.0,194.1875,0.23
185.0,194000000000.0,194.0,0.23
190.0,193812500000.0,193.8125,0.23
195.0,193625000000.0,193.625,0.23
200.0,193437500000.0,193.4375,0.23
205.0,193250000000.0,193.25,0.23
210.0,193062500000.0,193.0625,0.23
215.0,192875000000.0,192.875,0.23
220.0,192687500000.0,192.6875,0.23
225.0,192500000000.0,192.5,0.23
230.0,192312500000.0,192.3125,0.23
235.0,192125000000.0,192.125,0.23
240.0,191937500000.0,191.9375,0.23
245.0,191750000000.0,191.75,0.23
250.0,191562500000.0,191.5625,0.23
255.0,191375000000.0,191.375,0.23
260.0,191187500000.0,191.1875,0.23
265.0,191000000000.0,191.0,0.23
270.0,190812500000.0,190.8125,0.23
275.0,190625000000.0,190.625,0.23
280.0,190437500000.0,190.4375,0.23
285.0,190250000000.0,190.25,0.23
290.0,190062500000.0,190.0625,0.23
295.0,189875000000.0,189.875,0.23
300.0,189687500000.0,189.6875,0.23
305.0,189500000000.0,189.5,0.23
310.0,189312500000.0,189.3125,0.23
315.0,189125000000.0,189.125,0.23
320.0,188937500000.0,188.9375,0.23
325.0,188750000000.0,188.75,0.23
330.0,188562500000.0,188.5625,0.23
335.0,188375000000.0,188.375,0.23
340.0,188187500000.0,188.1875,0.23
345.0,188000000000.0,188.0,0.23
350.0,187812500000.0,187.8125,0.23
355.0,187625000000.0,187.625,0.23
360.0,187437500000.0,187.4375,0.23
365.0,187250000000.0,187.25,0.23
370.0,187062500000.0,187.0625,0.23
375.0,186875000000.0,186.875,0.23
380.0,186687500000.0,186.6875,0.23
385.0,186500000000.0,186.5,0.23
390.0,186312500000.0,186.3125,0.23
395.0,186125000000.0,186.125,0.23
400.0,185937500000.0,185.9375,0.23
405.0,185750000000.0,185.75,0.23
410.0,185562500000.0,185.5625,0.23
415.0,185375000000.0,185.375,0.23
420.0,185187500000.0,185.1875,0.23
425.0,185000000000.0,185.0,0.23
430.0,184812500000.0,184.8125,0.23
435.0,184625000000.0,184.625,0.23
440.0,184437500000.0,184.4375,0.23
445.0,184250000000.0,184.25,0.23
450.0,184062500000.0,184.0625,0.23
455.0,183875000000.0,183.875,0.23
460.0,183687500000.0,183.6875,0.23
465.0,183500000000.0,183.5,0.23
470.0,183312500000.0,183.3125,0.23
475.0,183125000000.0,183.125,0.23
480.0,182937500000.0,182.9375,0.23
485.0,182750000000.0,182.75,0.23
490.0,182562500000.0,182.5625,0.23
495.0,182375000000.0,182.375,0.23
500.0,182187500000.0,182.1875,0.23
505.0,182000000000.0,182.0,0.23
510.0,181812500000.0,181.8125,0.23
515.0,181625000000.0,181.625,0.23
520.0,181437500000.0,181.4375,0.23
525.0,181250000000.0,181.25,0.23
530.0,181062500000.0,181.0625,0.23
535.0,180875000000.0,180.875,0.23
540.0,180687500000.0,180.6875,0.23
545.0,180500000000.0,180.5,0.23
550.0,180312500000.0,180.3125,0.23
555.0,180125000000.0,180.125,0.23
560.0,179937500000.0,179.9375,0.23
565.0,179750000000.0,179.75,0.23
570.0,179562500000.0,179.5625,0.23
575.0,179375000000.0,179.375,0.23
580.0,179187500000.0,179.1875,0.23
585.0,179000000000.0,179.0,0.23
590.0,178812500000.0,178.8125,0.23
595.0,178625000000.0,178.625,0.23
600.0,178437500000.0,178.4375,0.23
605.0,178250000000.0,178.25,0.23
610.0,178062500000.0,178.0625,0.23
