Frequency_Hz,Real_Impedance_Ohm_cm2,Imaginary_Impedance_Ohm_cm2,Magnitude_Ohm_cm2,Phase_Angle_deg,Temperature_C,Current_Density_A_cm2
100000,0.145,0.002,0.145,-0.79,800,0.5
79433,0.145,0.003,0.145,-1.19,800,0.5
63096,0.145,0.004,0.145,-1.58,800,0.5
50119,0.146,0.005,0.146,-1.96,800,0.5
39811,0.146,0.006,0.146,-2.35,800,0.5
31623,0.147,0.008,0.147,-3.11,800,0.5
25119,0.148,0.010,0.148,-3.86,800,0.5
19953,0.149,0.012,0.150,-4.60,800,0.5
15849,0.151,0.015,0.152,-5.66,800,0.5
12589,0.153,0.018,0.154,-6.71,800,0.5
10000,0.156,0.022,0.158,-8.02,800,0.5
7943,0.160,0.026,0.162,-9.23,800,0.5
6310,0.164,0.031,0.167,-10.70,800,0.5
5012,0.170,0.036,0.174,-11.95,800,0.5
3981,0.177,0.041,0.182,-13.04,800,0.5
3162,0.185,0.046,0.191,-13.97,800,0.5
2512,0.194,0.050,0.200,-14.45,800,0.5
1995,0.204,0.053,0.211,-14.57,800,0.5
1585,0.215,0.055,0.222,-14.35,800,0.5
1259,0.226,0.056,0.233,-13.91,800,0.5
1000,0.238,0.055,0.244,-13.01,800,0.5
794,0.250,0.053,0.256,-11.96,800,0.5
631,0.262,0.050,0.267,-10.80,800,0.5
501,0.273,0.046,0.277,-9.56,800,0.5
398,0.284,0.041,0.287,-8.21,800,0.5
316,0.294,0.036,0.296,-6.98,800,0.5
251,0.303,0.031,0.305,-5.84,800,0.5
200,0.311,0.026,0.312,-4.77,800,0.5
159,0.318,0.021,0.319,-3.78,800,0.5
126,0.324,0.017,0.324,-3.00,800,0.5
100,0.329,0.013,0.329,-2.26,800,0.5
79,0.333,0.010,0.333,-1.72,800,0.5
63,0.336,0.007,0.336,-1.19,800,0.5
50,0.339,0.005,0.339,-0.84,800,0.5
40,0.341,0.004,0.341,-0.67,800,0.5
32,0.342,0.003,0.342,-0.50,800,0.5
25,0.343,0.002,0.343,-0.33,800,0.5
20,0.344,0.001,0.344,-0.17,800,0.5
16,0.344,0.001,0.344,-0.17,800,0.5
13,0.345,0.000,0.345,0.00,800,0.5
10,0.345,0.000,0.345,0.00,800,0.5
