log_pO2_Pa,pO2_Pa,temperature_K,length_mm,chemical_strain,chemical_expansion_coefficient,oxidation_fraction
-20.0,1e-20,1073,9.999950046465564,-4.995353443653889e-06,0.0,0
-19.79591836734694,1.5998587196060573e-20,1073,9.999951622072654,-4.837792734535758e-06,0.0,0
-19.591836734693878,2.559547922699533e-20,1073,9.999956759707286,-4.324029271365686e-06,0.0,0
-19.387755102040817,4.094915062380419e-20,1073,9.999956544885865,-4.345511413388721e-06,0.0,0
-19.183673469387756,6.551285568595496e-20,1073,9.999959815820699,-4.018417930073417e-06,0.0,0
-18.979591836734695,1.0481131341546832e-19,1073,9.99996128458274,-3.871541726024194e-06,0.0,0
-18.775510204081634,1.676832936811003e-19,1073,9.999961575342416,-3.842465758334394e-06,0.0,0
-18.571428571428573,2.6826957952797164e-19,1073,9.999963005757486,-3.699424251435223e-06,0.0,0
-18.367346938775512,4.291934260128761e-19,1073,9.999967715480812,-3.2284519187710824e-06,0.0,0
-18.163265306122447,6.866488450043027e-19,1073,9.999968451606955,-3.1548393044268556e-06,0.0,0
-17.959183673469386,1.0985411419875618e-18,1073,9.99997179749391,-2.8202506090249678e-06,0.0,0
-17.755102040816325,1.7575106248547965e-18,1073,9.999973523692868,-2.6476307131959117e-06,0.0,0
-17.551020408163264,2.8117686979742367e-18,1073,9.999975032567948,-2.4967432052094082e-06,0.0,0
-17.346938775510203,4.498432668969453e-18,1073,9.99997764202463,-2.2357975370627644e-06,0.0,0
-17.142857142857142,7.196856730011528e-18,1073,9.999978584610616,-2.1415389383909114e-06,0.0,0
-16.93877551020408,1.151395399326448e-17,1073,9.999979664555894,-2.033544410576121e-06,0.0,0
-16.73469387755102,1.8420699693267164e-17,1073,9.999982575178326,-1.7424821674719314e-06,0.0,0
-16.53061224489796,2.9470517025518094e-17,1073,9.999984364439468,-1.563556053137941e-06,0.0,0
-16.3265306122449,4.7148663634573897e-17,1073,9.999985914431742,-1.4085568257802198e-06,0.0,0
-16.122448979591837,7.543120063354607e-17,1073,9.999989141404928,-1.0858595071458087e-06,0.0,0
-15.918367346938776,1.2067926406393265e-16,1073,9.999990601129841,-9.398870158690819e-07,0.0,0
-15.714285714285715,1.9306977288832456e-16,1073,9.99999312554194,-6.874458061107411e-07,0.0,0
-15.510204081632653,3.0888435964774847e-16,1073,9.999994766416469,-5.233583531702363e-07,0.0,0
-15.306122448979592,4.941713361323839e-16,1073,9.999996605708239,-3.394291761838216e-07,0.0,0
-15.10204081632653,7.906043210907702e-16,1073,9.999999092372537,-9.076274628101812e-08,0.0,0
-14.89795918367347,1.2648552168552958e-15,1073,10.000000966063569,9.660635682563538e-08,9.467422968912277e-07,0
-14.693877551020408,2.0235896477251554e-15,1073,10.000002992788621,2.992788621300496e-07,9.776442829581631e-07,0
-14.489795918367346,3.237457542817653e-15,1073,10.000004920808651,4.92080865049768e-07,9.644784954975432e-07,0
-14.285714285714285,5.179474679231223e-15,1073,10.000007185756106,7.185756105658877e-07,1.0060058547922414e-06,0
-14.081632653061224,8.28642772854686e-15,1073,10.000008499598312,8.499598312223792e-07,9.255118162199233e-07,0
-13.877551020408163,1.3257113655901108e-14,1073,10.000011473356432,1.147335643140895e-06,1.0221717547982514e-06,0
-13.673469387755102,2.1209508879201924e-14,1073,10.000012369314089,1.2369314088016332e-06,9.324559850966155e-07,0
-13.46938775510204,3.3932217718953294e-14,1073,10.000014838828214,1.483882821422425e-06,9.694701099959842e-07,0
-13.26530612244898,5.4286754393238596e-14,1073,10.000018305766929,1.8305766929391095e-06,1.0552736229884278e-06,0
-13.061224489795919,8.68511373751352e-14,1073,10.000017210647899,1.7210647898748637e-06,8.877071021459824e-07,0
-12.857142857142858,1.389495494373136e-13,1073,10.000021306519612,2.1306519612589175e-06,9.943042485874952e-07,0
-12.653061224489797,2.222996482526191e-13,1073,10.000023555838625,2.3555838626212115e-06,1.0036835588559949e-06,0
-12.448979591836736,3.556480306223121e-13,1073,10.000027812084095,2.781208409447167e-06,1.0902336965032898e-06,0
-12.244897959183673,5.689866029018305e-13,1073,10.000026295813495,2.6295813494472937e-06,9.54440637947536e-07,0
-12.040816326530612,9.102981779915227e-13,1073,10.000031247147072,3.124714707205406e-06,1.0559380734694128e-06,0
-11.83673469387755,1.4563484775012444e-12,1073,10.000030718954593,3.071895459263847e-06,9.711153387350224e-07,0
-11.63265306122449,2.329951810515372e-12,1073,10.000033899127933,3.3899127933710268e-06,1.0067013750010927e-06,0
-11.428571428571429,3.727593720314938e-12,1073,10.000037782743297,3.7782743296311275e-06,1.0579168122967157e-06,0
-11.224489795918368,5.9636233165946364e-12,1073,10.000036932426262,3.6932426261276435e-06,9.78210209082457e-07,0
-11.020408163265305,9.540954763499963e-12,1073,10.000036775733218,3.677573321834275e-06,9.241081680506637e-07,0
-10.816326530612244,1.5264179671752364e-11,1073,10.00004269426967,4.269426966986101e-06,1.0204971774747264e-06,0
-10.612244897959183,2.4420530945486546e-11,1073,10.000043591395995,4.3591395995490295e-06,9.93478327339081e-07,0
-10.408163265306122,3.906939937054621e-11,1073,10.000044820826052,4.482082605063865e-06,9.760979895472416e-07,0
-10.204081632653061,6.250551925273977e-11,1073,10.000048819167958,4.881916795733331e-06,1.0179315871954606e-06,0
-10.0,1e-10,1073,10.000047353834367,4.735383436581373e-06,9.470766873162746e-07,0
