feature,importance
mfg_green_density,0.35412297024729933
mfg_cooling_rate,0.19512587010279925
mfg_sintering_temp,0.078768543090873
grad_std,0.06635771077840989
hour_of_day,0.05429613372564754
mfg_humidity,0.029950028632652326
y_symmetry,0.022985914803629076
days_from_start,0.02281947544194186
grad_mean,0.021217511000052213
mfg_sintering_time,0.019444061261630494
grad_max,0.018513494879809612
x_symmetry,0.016466043391390614
curvature_max,0.01611066225576922
disp_std,0.013982216085296189
curvature_mean,0.011914960394527583
disp_range,0.008224375176812017
disp_rms,0.007494726394486616
edge_mean,0.007316829157929554
disp_max,0.006809289182469757
center_edge_ratio,0.006429199924656844
center_mean,0.005145657584881967
day_of_week,0.005137123130153992
disp_min,0.004259546324749675
disp_mean,0.003333947683191796
shift,0.0021225378680107816
mfg_furnace_position,0.001651171480928846
