plate_id,production_date,batch_id,failure_risk
SOFC_0138,2023-01-16 05:21:30.096791,B007,0.023633068950620194
SOFC_0141,2023-01-16 13:53:14.934609,B008,0.09334527473501268
SOFC_0176,2023-01-18 22:44:56.239926,B009,0.06273905508030073
SOFC_0056,2023-01-06 12:52:36.892171,B003,0.05345198459127319
SOFC_0215,2023-01-20 17:17:08.340994,B011,0.07279671054059851
SOFC_0084,2023-01-10 14:01:00.996037,B005,0.022124818965346408
SOFC_0040,2023-01-05 21:18:24.245856,B002,0.0521929854673499
SOFC_0413,2023-02-03 01:10:51.918065,B021,0.12749965727328516
SOFC_0310,2023-01-27 13:17:02.096493,B016,0.06678280677408327
SOFC_0177,2023-01-19 00:11:25.513238,B009,0.026501300555126235
SOFC_0081,2023-01-09 21:55:34.629826,B005,0.08182210394232636
SOFC_0043,2023-01-06 00:10:41.597345,B003,0.0940782461031431
SOFC_0170,2023-01-18 09:14:58.847669,B009,0.0662882690513908
SOFC_0455,2023-02-06 16:53:39.050243,B023,0.11112448027424408
SOFC_0258,2023-01-24 22:06:25.566700,B013,0.03560304868629395
SOFC_0418,2023-02-03 04:41:39.400181,B021,0.06391150100315024
SOFC_0284,2023-01-26 01:39:08.749819,B015,0.05801445173938996
SOFC_0180,2023-01-19 03:44:30.552494,B009,0.05819854293132283
SOFC_0287,2023-01-26 03:51:00.746843,B015,0.033711820876561716
SOFC_0494,2023-02-09 07:37:14.887950,B025,0.0680471733689626
SOFC_0379,2023-02-01 03:08:13.163055,B019,0.08486203973696138
SOFC_0125,2023-01-13 14:38:44.525831,B007,0.05208021671065148
SOFC_0456,2023-02-06 17:39:07.445911,B023,0.07032175451213721
SOFC_0019,2023-01-04 05:43:07.787540,B001,0.0327993569051681
SOFC_0203,2023-01-20 04:14:29.350897,B011,0.07509280743090242
SOFC_0002,2023-01-02 01:27:02.571503,B001,0.034421808460683746
SOFC_0269,2023-01-25 10:24:56.288201,B014,0.09494038617085523
SOFC_0198,2023-01-19 23:20:58.523141,B010,0.021611531346193032
SOFC_0114,2023-01-11 22:08:43.847355,B006,0.03184559511908418
SOFC_0331,2023-01-30 06:37:37.765770,B017,0.10308964007087383
SOFC_0311,2023-01-27 14:18:59.518652,B016,0.10669031163406989
SOFC_0112,2023-01-11 19:46:25.672677,B006,0.02954633127752105
SOFC_0404,2023-02-02 08:01:38.891675,B021,0.05992952331689885
SOFC_0168,2023-01-18 07:34:42.657537,B009,0.05653438879096043
SOFC_0301,2023-01-27 04:58:22.978418,B016,0.06573260017988214
SOFC_0117,2023-01-12 08:35:39.802107,B006,0.09945230668554436
SOFC_0343,2023-01-30 18:46:36.400809,B018,0.1044778641401475
SOFC_0302,2023-01-27 06:16:45.303025,B016,0.0713165999809013
SOFC_0344,2023-01-30 19:36:48.176210,B018,0.07979021636535671
SOFC_0052,2023-01-06 09:01:05.823474,B003,0.03830268463441929
SOFC_0446,2023-02-06 08:20:26.240427,B023,0.10145008587412666
SOFC_0424,2023-02-03 10:12:05.361180,B022,0.07522936463232506
SOFC_0202,2023-01-20 03:24:46.158534,B011,0.08930415712872483
SOFC_0065,2023-01-06 22:18:08.301658,B004,0.05095971535879702
SOFC_0077,2023-01-09 17:16:06.130503,B004,0.022445009902476165
SOFC_0255,2023-01-24 19:00:01.005311,B013,0.06406938584336538
SOFC_0074,2023-01-09 14:47:50.278783,B004,0.12380090193298268
SOFC_0051,2023-01-06 07:36:38.584168,B003,0.033717433122483056
SOFC_0397,2023-02-01 21:27:19.077401,B020,0.07260283496575518
SOFC_0159,2023-01-17 08:26:39.326294,B008,0.057845207370072024
SOFC_0134,2023-01-16 00:35:33.035528,B007,0.05543148226528468
SOFC_0250,2023-01-24 10:29:32.274559,B013,0.09464684702231681
SOFC_0209,2023-01-20 10:49:55.917907,B011,0.07549443638369675
SOFC_0076,2023-01-09 16:31:34.731526,B004,0.02497517851632291
SOFC_0414,2023-02-03 01:49:47.103885,B021,0.08092908499063899
SOFC_0107,2023-01-11 14:23:32.102981,B006,0.053908290371397403
SOFC_0463,2023-02-07 20:52:02.700496,B024,0.12211227448079222
SOFC_0160,2023-01-17 09:21:49.886519,B008,0.07962479564251786
SOFC_0060,2023-01-06 18:00:50.362125,B003,0.03196139879166315
SOFC_0045,2023-01-06 02:11:06.102503,B003,0.06829119626917729
SOFC_0328,2023-01-30 04:31:28.155661,B017,0.019451194752828083
SOFC_0165,2023-01-18 04:33:19.232872,B009,0.043709505824137185
SOFC_0479,2023-02-08 15:54:37.067581,B024,0.12659888002733366
SOFC_0009,2023-01-03 12:37:35.708473,B001,0.04606948413675735
SOFC_0487,2023-02-08 23:26:48.000455,B025,0.1288785517464961
SOFC_0430,2023-02-03 15:58:37.857100,B022,0.02163949956214178
SOFC_0312,2023-01-27 15:05:08.794283,B016,0.11924968612652001
SOFC_0131,2023-01-13 20:54:17.042385,B007,0.04568350118578174
SOFC_0443,2023-02-06 05:13:35.187132,B023,0.06007060708351482
SOFC_0195,2023-01-19 20:07:00.377095,B010,0.03761381807352061
SOFC_0025,2023-01-05 06:56:39.582024,B002,0.05118716460262838
SOFC_0197,2023-01-19 22:50:19.507596,B010,0.04814779354848187
SOFC_0278,2023-01-25 18:07:56.300087,B014,0.023987556704596763
SOFC_0191,2023-01-19 15:05:59.727413,B010,0.03489965728775345
SOFC_0119,2023-01-13 08:00:09.591876,B006,0.062402492177110455
SOFC_0242,2023-01-24 00:25:07.004644,B013,0.0620286717073117
SOFC_0243,2023-01-24 01:53:34.825952,B013,0.021794839931803353
SOFC_0299,2023-01-27 03:02:18.214716,B015,0.05458894622247487
SOFC_0402,2023-02-02 02:34:50.651741,B021,0.09800149531522948
SOFC_0157,2023-01-17 05:56:06.136695,B008,0.07593239745505756
SOFC_0047,2023-01-06 04:43:00.410526,B003,0.07003273398847326
SOFC_0158,2023-01-17 07:23:23.651705,B008,0.06476690365811263
SOFC_0433,2023-02-03 17:45:18.229877,B022,0.07810317172850029
SOFC_0325,2023-01-30 02:25:06.921609,B017,0.08044294189494901
SOFC_0271,2023-01-25 12:22:48.203217,B014,0.04743541806567917
SOFC_0472,2023-02-08 06:36:17.578814,B024,0.09093471677803963
SOFC_0206,2023-01-20 07:46:40.437614,B011,0.041923605666797786
SOFC_0088,2023-01-10 16:56:31.422618,B005,0.04365783336403074
SOFC_0199,2023-01-19 23:56:27.155177,B010,0.049768446351117296
SOFC_0016,2023-01-04 02:21:49.949543,B001,0.05507119050967879
SOFC_0121,2023-01-13 10:23:40.086728,B007,0.08810491420849724
SOFC_0473,2023-02-08 07:27:38.000593,B024,0.08094933287057987
SOFC_0415,2023-02-03 02:24:54.362690,B021,0.08601042783574858
SOFC_0283,2023-01-26 00:10:20.632548,B015,0.07741589384261571
SOFC_0469,2023-02-08 03:22:27.845990,B024,0.0829088132334567
SOFC_0240,2023-01-23 22:22:16.528383,B012,0.055918934973508964
SOFC_0059,2023-01-06 16:42:23.577566,B003,0.031711734972970265
SOFC_0300,2023-01-27 04:24:43.097763,B015,0.08879846920099779
SOFC_0450,2023-02-06 12:24:09.638892,B023,0.06571009642556545
SOFC_0083,2023-01-10 07:05:54.003499,B005,0.0363785308559334
SOFC_0251,2023-01-24 14:48:58.677305,B013,0.06484375599923178
SOFC_0221,2023-01-20 23:54:18.642734,B012,0.08061641752099559
SOFC_0233,2023-01-23 15:28:26.789049,B012,0.09898148721406387
SOFC_0410,2023-02-02 13:47:39.295035,B021,0.10297317806679922
SOFC_0336,2023-01-30 12:35:08.073343,B017,0.07272210202040784
SOFC_0020,2023-01-04 06:39:32.336517,B001,0.017714019649643656
SOFC_0162,2023-01-17 10:44:03.204721,B009,0.06243186642180637
SOFC_0173,2023-01-18 19:27:44.288917,B009,0.032082280899699944
SOFC_0167,2023-01-18 06:27:45.597184,B009,0.09914916587300261
SOFC_0030,2023-01-05 11:30:14.847628,B002,0.05678610935210553
SOFC_0330,2023-01-30 06:00:54.425722,B017,0.086968086116001
SOFC_0189,2023-01-19 12:54:39.217117,B010,0.024787721190170135
SOFC_0067,2023-01-09 00:21:54.291914,B004,0.13601649909166297
SOFC_0211,2023-01-20 12:41:41.397815,B011,0.0309913229220213
SOFC_0257,2023-01-24 20:44:32.566145,B013,0.03615987772297166
SOFC_0365,2023-01-31 14:40:20.732203,B019,0.10338904503355337
SOFC_0190,2023-01-19 13:49:24.640754,B010,0.03690218132480785
SOFC_0039,2023-01-05 19:56:37.073523,B002,0.0652866607984424
SOFC_0492,2023-02-09 05:40:43.887486,B025,0.09723353716010963
SOFC_0126,2023-01-13 15:42:56.746043,B007,0.06271402720806891
SOFC_0267,2023-01-25 07:47:28.088590,B014,0.07366893571235592
SOFC_0174,2023-01-18 20:54:09.117786,B009,0.04726018085946447
SOFC_0347,2023-01-30 21:45:13.506303,B018,0.07628564461076481
SOFC_0185,2023-01-19 08:14:44.399100,B010,0.09067308930961916
SOFC_0377,2023-02-01 01:53:55.929618,B019,0.10641156241721722
SOFC_0150,2023-01-16 23:21:35.717967,B008,0.0694766241503089
SOFC_0023,2023-01-05 04:25:40.920358,B002,0.06266158360124895
SOFC_0407,2023-02-02 11:14:47.388008,B021,0.018582515483814968
SOFC_0447,2023-02-06 09:06:31.269534,B023,0.07617117488796966
SOFC_0109,2023-01-11 16:08:36.738557,B006,0.03957916012555293
SOFC_0239,2023-01-23 21:35:37.956124,B012,0.07677668190033923
SOFC_0179,2023-01-19 02:20:50.647353,B009,0.10787060948715191
SOFC_0148,2023-01-16 21:02:54.366412,B008,0.0552460673919228
SOFC_0406,2023-02-02 10:17:39.403421,B021,0.09362746773124611
SOFC_0355,2023-01-31 05:52:07.141926,B018,0.052552818970320186
SOFC_0297,2023-01-26 11:52:05.317709,B015,0.029047523039110696
SOFC_0442,2023-02-06 04:08:36.237513,B023,0.08024012315212306
SOFC_0259,2023-01-24 23:36:24.550324,B013,0.05267084091307734
SOFC_0106,2023-01-11 13:14:33.424544,B006,0.02745164965456602
SOFC_0263,2023-01-25 03:29:00.688153,B014,0.09557969157218175
SOFC_0222,2023-01-23 05:57:23.898953,B012,0.09237852605911998
SOFC_0166,2023-01-18 05:31:43.731247,B009,0.06089799503598321
SOFC_0070,2023-01-09 03:42:35.814983,B004,0.032889510474505786
SOFC_0093,2023-01-10 21:53:23.682701,B005,0.04383311713072281
SOFC_0400,2023-02-02 00:56:04.918272,B020,0.08693181045859119
SOFC_0248,2023-01-24 07:56:46.157314,B013,0.06430955295217955
SOFC_0262,2023-01-25 02:51:15.714258,B014,0.05386486131787482
SOFC_0225,2023-01-23 08:22:35.446798,B012,0.09332258683615458
SOFC_0115,2023-01-11 22:50:26.722111,B006,0.027095319099818674
SOFC_0135,2023-01-16 01:53:26.898172,B007,0.05171697171017545
SOFC_0441,2023-02-06 01:50:02.000499,B023,0.07153660884979551
