fuel_utilization,operating_temperature_K,current_density_A_cm2,thermal_cycling_amplitude_K,cycles,cell_length_mm,cell_width_mm,anode_thickness_um,electrolyte_thickness_um,cathode_thickness_um,Ni_particle_size_initial_nm,YSZ_grain_size_nm,porosity_anode,tortuosity_anode,TPB_length_density_um_um3,interface_roughness_nm,E_electrolyte_GPa,E_anode_GPa,eta_activation_V,eta_ohmic_V,eta_concentration_V,peak_temperature_K,min_temperature_K,temperature_gradient_max_K_mm,max_principal_stress_MPa,von_mises_stress_MPa,stress_concentration_factor,max_stress_MPa,max_elastic_strain_percent,accumulated_creep_strain_percent,crack_initiation_indicator,crack_length_um,crack_propagation_rate_nm_cycle,crack_present,strain_energy_release_rate_J_m2,delamination_indicator,delamination_present,delaminated_area_percent,Ni_particle_size_current_nm,Ni_coarsening_percent,TPB_density_current_um_um3,TPB_loss_percent,cycles_to_failure,time_to_failure_hours,remaining_life_percent,voltage_degradation_mV,power_degradation_percent
0.7,984.0260971317268,1.4776447345435826,187.9007483112361,3156,100.0,100.0,539.466221819129,13.839503538427094,50.512626063418296,505.95070542006715,522.4580447211811,0.361544107517542,3.34266183927902,4.655718935765251,189.51523183239178,158.8384341720964,4.88305897622809,0.00011736078103370924,0.21995451573458144,,996.0700989670759,979.0260971317268,1204.4001835349045,4004.728456953792,3670.39425834689,1.948950288706065,7153.415949470255,4.503579997344821,116789891.68752432,2.0,360592844197216.06,114256287768446.08,1,0.20179317591071042,0.004035863518214208,0,0.05094874105393617,,,,,,,,,
0.7,857.9828355156665,0.5028145326360253,178.9148932748963,1857,100.0,100.0,444.19315251032555,13.84151280926886,58.89546280726922,465.32742652827716,537.1787801999135,0.30708904106128915,3.9984932689658987,5.712806319601036,176.41388040383686,166.40102986906,12.617419857685869,3.3758011325248225e-05,0.35324994427047895,,864.5619532805091,852.9828355156665,657.9117764842596,3372.879550974096,3091.295170461492,1.8890232149892405,5839.52834138588,3.5093102163976813,189323.1203381304,2.0,185550234453957.03,99919350809885.22,1,0.19169284553711616,0.003833856910742323,0,0.02847788913299398,,,,,,,,,
0.55,880.4603912706611,1.0818014128686302,127.63611440822395,1383,100.0,100.0,597.7091630913942,11.066614061360717,42.52100516664967,462.72961945048223,448.8371135581297,0.3571689729331109,4.328523727739024,3.187872005279407,64.7425015859042,165.0523765237603,5.749113361832278,0.0001275936191287086,0.4088243146560324,,896.845752462046,875.4603912706611,1638.536119138488,3232.162819020945,2962.3261553170673,1.55239489389501,4598.699997565852,2.7862064724065583,227063.49214364673,1.5485724074706355,7126824019690.051,5153162704041.927,1,0.0773672292400963,0.001547344584801926,0,0.008559910243124256,,,,,,,,,
0.85,1082.1530285726433,0.9740074024626859,173.37151611534327,2788,100.0,100.0,528.1291742513953,12.378873501583392,41.41948137954511,470.8377456310045,514.2723123131816,0.2910318673839089,3.599286587771581,3.476798718286451,199.66072167089024,152.95081828564142,13.088084823199013,9.621067268289246e-05,0.0498024195761439,,1083.9530891369066,1077.1530285726433,180.00605642631774,4379.128384235837,4013.537459738077,1.9983050472267587,8020.272163028263,5.243693530328228,3817867384.66461,2.0,230710222841470.3,82751155968963.44,1,0.14796594489569154,0.002959318897913831,0,0.03300232434953504,,,,,,,,,
0.7,1072.7335703886479,1.442669907502354,107.52800877109286,1658,100.0,100.0,559.5606474199793,11.772699832326683,46.32325049788035,547.603685769876,404.4390527510107,0.3218862300937947,4.105846413024645,5.441999216666284,160.6380807251243,153.51598577668113,9.433694543669304,9.847728371360296e-05,0.0676358193363546,,1076.3527641456706,1067.7335703886479,361.9193757022622,4210.4798953619365,3858.9685665171637,1.8225574122381443,7033.191764499863,4.581406769410326,1220011120.0633657,2.0,17848066229654.832,10764816785075.195,1,0.054330816485210105,0.0010866163297042022,0,0.00720643949859827,,,,,,,,,
0.55,963.9665713527761,1.0587591745446185,74.90980097242118,4002,100.0,100.0,505.4215648748658,10.1343795845305,57.00982946937401,453.0566414295814,462.2169081049948,0.33930537411925704,2.6591827606043354,3.743395117444716,127.57738885829905,160.04200571883342,7.792118096316366,9.99550225445922e-05,0.1349677724119505,,969.2630230418932,958.9665713527761,529.6451689117167,3704.9116901045845,3395.6076526062066,1.7034498768487705,5784.247437658785,3.6142057903352716,40595933.704121664,2.0,9397098942994.686,2348100685405.937,1,0.023663652914052712,0.00047327305828105427,0,0.0075761551169631165,,,,,,,,,
0.55,880.9815581981751,1.3073940167084024,97.10525716916553,3125,100.0,100.0,580.7220178973271,11.673049968293057,43.94134387361924,535.8466196054528,442.02173487673093,0.36089495604004457,2.831106410753674,4.7814802317757,66.974625803046,165.02110650810948,5.247556330709395,0.000110590772245028,0.5136143433900897,,905.8571472780919,875.9815581981751,2487.558907991683,3286.6281964575223,3012.244498288558,1.5560700062682253,4687.263315333304,2.840402306418277,551334.342562864,1.6053739050138978,6559026639204.738,2098888524545.4949,1,0.0472261642159916,0.0009445232843198321,0,0.011806541053997902,,,,,,,,,
0.7,990.274386836491,1.083855780078499,50.943616112669034,1812,100.0,100.0,425.36204067031616,11.151349417632046,43.85765164368572,475.3922380524526,426.33032831084284,0.29965353014766605,3.8955398677539312,5.718643766826391,198.93714136925732,158.46353678981055,12.69792186198228,6.77360386009382e-05,0.10992739442246423,,994.6899000931841,985.274386836491,441.5513256693112,4017.51946417045,3682.117410103903,1.9946998277021484,7344.718963513335,4.634958371057645,90274307.41965324,2.0,2319457363699.139,1280053732725.6846,1,0.011923661963195432,0.00023847323926390863,0,0.0017284540381848096,,,,,,,,,
0.55,1064.0255030714814,1.3077226966374358,196.44698438864376,4992,100.0,100.0,521.9235696871788,9.351137598917422,48.81105935890934,505.2041125071508,440.8694249106401,0.37822905451828526,2.528321122407352,6.62546841191883,190.50423892305815,154.03846981571112,2.64251849675202,7.062677264133127e-05,0.05500084603710819,,1066.692844365206,1059.0255030714814,266.7341293724476,4283.589960223643,3925.975047775544,1.9536483130956703,7669.974529342386,4.979259102299968,3464183874.100182,2.0,604055989134799.2,121004805515785.05,1,0.1445299073226715,0.0028905981464534304,0,0.0577194637883821,,,,,,,,,
0.85,885.0390699554134,1.3033785652170051,166.10996844129042,1259,100.0,100.0,489.361638439187,13.988659959010544,59.847205881571256,479.4356602629864,586.9279560025086,0.31080722868084965,2.8204705318742764,6.665953642320992,117.01110716629825,164.7776558026752,11.943560074315519,7.458674607753547e-05,0.670170391031151,,917.3939935657537,880.0390699554134,3235.4923610340275,3477.040102751851,3186.7598930514782,1.6711449900035367,5325.537829617184,3.2319538736457263,368766.4953709979,2.0,45694161731038.15,36294012494867.375,1,0.16536331611989624,0.003307266322397925,0,0.016655393199595952,,,,,,,,,
