Temperature_C,Time_min,Linear_Shrinkage_percent,Shrinkage_Rate_percent_min,Relative_Density_fraction
25,0,0.000,0.0000,0.595
200,35,0.050,0.0014,0.596
400,70,-0.120,0.0012,0.594
600,105,-0.350,0.0021,0.591
800,140,0.850,0.0450,0.615
900,157,2.450,0.0980,0.650
1000,175,5.200,0.1520,0.705
1050,183,7.850,0.3310,0.760
1100,192,11.200,0.3720,0.825
1150,200,14.150,0.3690,0.880
1200,208,16.450,0.2880,0.920
1250,216,17.800,0.1690,0.945
1300,224,18.550,0.0940,0.960
1350,232,18.950,0.0500,0.970
1400,240,19.200,0.0310,0.975
1400,300,19.350,0.0025,0.978
