experiment_id,measurement_location_m,radial_position_mm,phase,turbulent_kinetic_energy_m2_s2,turbulent_dissipation_rate_m2_s3,mean_velocity_ms,reynolds_stress_pa,wall_shear_stress_pa,interface_shear_stress_pa,turbulence_intensity_percent,integral_length_scale_mm
EXP001,1.0,0,gas,0.0234,0.0089,0.52,0.234,0.0,0.0,8.9,12.4
EXP001,1.0,10,gas,0.0189,0.0067,0.51,0.189,0.0,0.0,8.5,11.8
EXP001,1.0,20,gas,0.0156,0.0051,0.49,0.156,0.0,0.0,8.1,11.2
EXP001,1.0,25,interface,0.0423,0.0234,0.38,0.423,0.0,2.34,17.1,8.9
EXP001,1.0,30,liquid,0.0089,0.0023,1.21,0.089,0.0,0.0,2.5,15.6
EXP001,1.0,50,liquid,0.0067,0.0018,1.19,0.067,0.0,0.0,2.2,16.2
EXP001,1.0,80,liquid,0.0045,0.0012,1.17,0.045,0.234,0.0,1.8,17.1
EXP001,1.0,101.6,liquid,0.0023,0.0006,1.15,0.023,0.456,0.0,1.3,18.4
EXP002,1.0,0,gas,0.0267,0.0102,0.72,0.267,0.0,0.0,9.2,11.8
EXP002,1.0,10,gas,0.0218,0.0078,0.71,0.218,0.0,0.0,8.7,11.1
EXP002,1.0,20,gas,0.0181,0.0059,0.69,0.181,0.0,0.0,8.2,10.5
EXP002,1.0,28,interface,0.0489,0.0278,0.41,0.489,0.0,2.78,18.9,8.2
EXP002,1.0,35,liquid,0.0102,0.0027,1.11,0.102,0.0,0.0,2.9,14.8
EXP002,1.0,55,liquid,0.0078,0.0021,1.09,0.078,0.0,0.0,2.6,15.4
EXP002,1.0,85,liquid,0.0052,0.0014,1.07,0.052,0.267,0.0,2.1,16.7
EXP002,1.0,101.6,liquid,0.0027,0.0007,1.05,0.027,0.523,0.0,1.6,18.9
EXP003,1.0,0,gas,0.0356,0.0145,1.02,0.356,0.0,0.0,10.1,10.8
EXP003,1.0,10,gas,0.0289,0.0112,1.01,0.289,0.0,0.0,9.5,10.2
EXP003,1.0,25,gas,0.0234,0.0084,0.98,0.234,0.0,0.0,8.9,9.6
EXP003,1.0,32,interface,0.0634,0.0389,0.49,0.634,0.0,3.89,25.8,7.1
EXP003,1.0,40,liquid,0.0145,0.0038,1.01,0.145,0.0,0.0,3.8,13.2
EXP003,1.0,60,liquid,0.0112,0.0029,0.99,0.112,0.0,0.0,3.4,13.8
EXP003,1.0,90,liquid,0.0074,0.0019,0.97,0.074,0.356,0.0,2.8,15.1
EXP003,1.0,101.6,liquid,0.0038,0.0010,0.95,0.038,0.698,0.0,2.1,17.3
EXP004,1.0,0,gas,0.0423,0.0178,1.34,0.423,0.0,0.0,10.8,10.1
EXP004,1.0,10,gas,0.0345,0.0134,1.33,0.345,0.0,0.0,10.1,9.5
EXP004,1.0,25,gas,0.0278,0.0098,1.30,0.278,0.0,0.0,9.4,8.9
EXP004,1.0,36,interface,0.0756,0.0489,0.52,0.756,0.0,4.89,33.4,6.4
EXP004,1.0,45,liquid,0.0178,0.0047,0.91,0.178,0.0,0.0,4.6,12.1
EXP004,1.0,65,liquid,0.0134,0.0035,0.89,0.134,0.0,0.0,4.1,12.7
EXP004,1.0,95,liquid,0.0089,0.0023,0.87,0.089,0.423,0.0,3.4,14.6
EXP004,1.0,101.6,liquid,0.0047,0.0012,0.85,0.047,0.834,0.0,2.5,16.8
EXP005,1.0,0,gas,0.0523,0.0234,1.82,0.523,0.0,0.0,12.5,9.1
EXP005,1.0,10,gas,0.0423,0.0178,1.81,0.423,0.0,0.0,11.7,8.6
EXP005,1.0,30,gas,0.0334,0.0123,1.78,0.334,0.0,0.0,10.3,8.1
EXP005,1.0,42,interface,0.0923,0.0634,0.64,0.923,0.0,6.34,47.2,5.8
EXP005,1.0,55,liquid,0.0234,0.0062,0.81,0.234,0.0,0.0,6.0,10.8
EXP005,1.0,75,liquid,0.0178,0.0046,0.79,0.178,0.0,0.0,5.3,11.4
EXP005,1.0,95,liquid,0.0123,0.0032,0.77,0.123,0.523,0.0,4.6,13.2
EXP005,1.0,101.6,liquid,0.0062,0.0016,0.75,0.062,1.023,0.0,3.3,15.7
EXP006,1.0,0,gas,0.0634,0.0289,2.23,0.634,0.0,0.0,13.6,8.4
EXP006,1.0,15,gas,0.0512,0.0218,2.22,0.512,0.0,0.0,12.7,7.9
EXP006,1.0,35,gas,0.0401,0.0156,2.19,0.401,0.0,0.0,11.5,7.4
EXP006,1.0,49,interface,0.1123,0.0823,0.73,1.123,0.0,8.23,57.9,5.1
