sensor_id,model,type,manufacturer,frequency_range_hz_min,frequency_range_hz_max,sensitivity_mv_pa,dynamic_range_db,temperature_range_c_min,temperature_range_c_max,pressure_rating_bar,diameter_mm,length_mm,mass_g,calibration_date,serial_number
S001,PCB_378C01,piezoelectric,PCB_Piezotronics,0.5,100000,50.0,140,−54,121,34.5,6.35,19.05,8.5,2024-01-10,A12345
S002,B&K_4189,condenser,Bruel_Kjaer,6.3,20000,12.5,120,−30,70,1.0,12.7,80.0,140.0,2024-01-15,BK67890
S003,Hydrophone_TC4013,hydrophone,Teledyne_RESON,1,170000,−211.0,160,−5,80,1000,9.5,83.0,40.0,2024-01-20,TR11223
S004,ICP_130E20,accelerometer,PCB_Piezotronics,0.5,10000,100.0,80,−54,121,34.5,10.5,22.2,19.0,2024-01-25,PC33445
S005,Kulite_XCS-093,pressure,Kulite,0,50000,5.0,100,−55,175,207,6.35,38.1,14.0,2024-02-01,KU55667
S006,Endevco_8510B,piezoresistive,Endevco,0,10000,0.725,120,−54,121,69,5.59,12.7,2.8,2024-02-05,EN77889
S007,Dytran_2006V,IEPE,Dytran,0.3,6000,10.0,100,−54,121,34.5,10.2,25.4,22.0,2024-02-10,DY99001
S008,PCB_106B52,pressure,PCB_Piezotronics,0.15,20000,14.5,140,−54,121,689,8.26,19.05,28.0,2024-02-15,PC11223
S009,B&K_8103,hydrophone,Bruel_Kjaer,0.1,180000,−199.0,150,−5,50,200,9.5,42.0,15.0,2024-02-20,BK33445
S010,Kistler_601A,piezoelectric,Kistler,0.5,35000,−62.1,120,−196,350,1000,5.54,11.2,1.8,2024-02-25,KI55667
