signal_id,original_frequency_hz,filter_type,cutoff_low_hz,cutoff_high_hz,filter_order,amplitude_original,amplitude_filtered,phase_original_rad,phase_filtered_rad,snr_original_db,snr_filtered_db,processing_timestamp
FS001,1000,butterworth_bandpass,800,1200,4,0.85,0.92,1.23,1.18,25.4,32.1,2024-01-15T14:30:00
FS002,2000,butterworth_bandpass,1800,2200,4,0.72,0.81,2.45,2.38,22.8,29.5,2024-01-15T14:31:00
FS003,5000,butterworth_bandpass,4500,5500,4,0.68,0.78,0.95,0.89,20.2,27.8,2024-01-15T14:32:00
FS004,1000,chebyshev_bandpass,900,1100,6,0.85,0.88,1.23,1.21,25.4,30.8,2024-01-15T14:33:00
FS005,2000,chebyshev_bandpass,1900,2100,6,0.72,0.76,2.45,2.42,22.8,28.2,2024-01-15T14:34:00
FS006,5000,chebyshev_bandpass,4800,5200,6,0.68,0.73,0.95,0.92,20.2,26.5,2024-01-15T14:35:00
FS007,1000,elliptic_bandpass,950,1050,5,0.85,0.91,1.23,1.19,25.4,31.7,2024-01-15T14:36:00
FS008,2000,elliptic_bandpass,1950,2050,5,0.72,0.79,2.45,2.40,22.8,29.1,2024-01-15T14:37:00
FS009,5000,elliptic_bandpass,4900,5100,5,0.68,0.76,0.95,0.91,20.2,27.3,2024-01-15T14:38:00
FS010,500,lowpass_butterworth,750,0,4,0.92,0.89,0.67,0.65,28.5,26.8,2024-01-15T14:39:00
FS011,10000,highpass_butterworth,0,8000,4,0.45,0.52,3.14,3.08,18.7,24.2,2024-01-15T14:40:00
FS012,1500,notch_filter,1500,1500,2,0.78,0.12,1.85,1.82,24.1,35.6,2024-01-15T14:41:00
FS013,3000,adaptive_filter,2500,3500,0,0.63,0.74,2.78,2.71,19.8,26.4,2024-01-15T14:42:00
FS014,7500,wiener_filter,7000,8000,0,0.58,0.69,0.42,0.38,17.5,23.9,2024-01-15T14:43:00
FS015,1200,kalman_filter,1000,1400,0,0.81,0.87,1.56,1.51,23.6,29.8,2024-01-15T14:44:00
