signal_id,wavelet_type,decomposition_level,frequency_band_hz_low,frequency_band_hz_high,coefficient_type,original_energy,filtered_energy,energy_ratio,threshold_type,threshold_value,denoising_method,processing_timestamp
WS001,daubechies_4,5,0,781.25,approximation,1.25e6,1.18e6,0.944,soft,0.05,sure,2024-01-15T15:00:00
WS002,daubechies_4,5,781.25,1562.5,detail_5,2.34e5,1.89e5,0.808,soft,0.05,sure,2024-01-15T15:01:00
WS003,daubechies_4,5,1562.5,3125,detail_4,1.87e5,1.52e5,0.813,soft,0.05,sure,2024-01-15T15:02:00
WS004,daubechies_4,5,3125,6250,detail_3,1.45e5,1.21e5,0.834,soft,0.05,sure,2024-01-15T15:03:00
WS005,daubechies_4,5,6250,12500,detail_2,9.87e4,8.45e4,0.856,soft,0.05,sure,2024-01-15T15:04:00
WS006,daubechies_4,5,12500,25000,detail_1,6.23e4,5.78e4,0.928,soft,0.05,sure,2024-01-15T15:05:00
WS007,symlet_8,6,0,390.625,approximation,1.42e6,1.35e6,0.951,hard,0.08,bayes,2024-01-15T15:06:00
WS008,symlet_8,6,390.625,781.25,detail_6,2.78e5,2.31e5,0.831,hard,0.08,bayes,2024-01-15T15:07:00
WS009,symlet_8,6,781.25,1562.5,detail_5,2.15e5,1.84e5,0.856,hard,0.08,bayes,2024-01-15T15:08:00
WS010,symlet_8,6,1562.5,3125,detail_4,1.73e5,1.49e5,0.861,hard,0.08,bayes,2024-01-15T15:09:00
WS011,symlet_8,6,3125,6250,detail_3,1.28e5,1.12e5,0.875,hard,0.08,bayes,2024-01-15T15:10:00
WS012,symlet_8,6,6250,12500,detail_2,8.94e4,8.12e4,0.908,hard,0.08,bayes,2024-01-15T15:11:00
WS013,symlet_8,6,12500,25000,detail_1,5.67e4,5.34e4,0.942,hard,0.08,bayes,2024-01-15T15:12:00
WS014,coiflet_3,4,0,1562.5,approximation,1.18e6,1.09e6,0.924,soft,0.12,minimax,2024-01-15T15:13:00
WS015,coiflet_3,4,1562.5,3125,detail_4,1.95e5,1.67e5,0.856,soft,0.12,minimax,2024-01-15T15:14:00
WS016,coiflet_3,4,3125,6250,detail_3,1.56e5,1.38e5,0.885,soft,0.12,minimax,2024-01-15T15:15:00
WS017,coiflet_3,4,6250,12500,detail_2,1.12e5,1.01e5,0.902,soft,0.12,minimax,2024-01-15T15:16:00
WS018,coiflet_3,4,12500,25000,detail_1,7.89e4,7.45e4,0.944,soft,0.12,minimax,2024-01-15T15:17:00
WS019,biorthogonal_2_2,5,0,781.25,approximation,1.33e6,1.24e6,0.932,soft,0.07,heursure,2024-01-15T15:18:00
WS020,biorthogonal_2_2,5,781.25,1562.5,detail_5,2.67e5,2.18e5,0.816,soft,0.07,heursure,2024-01-15T15:19:00
