flow_condition,sensor_spacing_m,true_velocity_m_s,true_time_delay_s,measured_time_delay_s,estimated_velocity_m_s,velocity_error_m_s,relative_error_percent,correlation_peak_value,peak_to_sidelobe_ratio,correlation_width_s,signal_attenuation,sampling_rate_Hz,signal_duration_s,measurement_quality
stratified_smooth,0.1,0.5,0.2,-0.2,0,0.5,100.0,1.0,1.005440342371653,0.98801,0.8350379154286256,100000,1.0,Poor
stratified_wavy,0.1,0.5,0.2,-0.2,0,0.5,100.0,1.0,1.0229267494449619,0.97399,0.8387000743759708,100000,1.0,Poor
slug_flow,0.1,0.5,0.2,-0.2,0,0.5,100.0,1.0,1.036631030530341,0.96004,0.8337472405280402,100000,1.0,Poor
stratified_smooth,0.1,1.0,0.1,-0.1,0,1.0,100.0,1.0,1.0054972545309704,0.98801,0.88060872872523,100000,1.0,Poor
stratified_wavy,0.1,1.0,0.1,-0.1,0,1.0,100.0,1.0,1.0225536353285105,0.904,0.8185276955926062,100000,1.0,Poor
slug_flow,0.1,1.0,0.1,-0.1,0,1.0,100.0,1.0,1.0370256453689546,0.96002,0.8808650317452301,100000,1.0,Poor
stratified_smooth,0.1,1.5,0.06666666666666667,-0.06666,0,1.5,100.0,1.0,1.0055416424101506,0.98801,0.8056902053504392,100000,1.0,Poor
stratified_wavy,0.1,1.5,0.06666666666666667,-0.06666,0,1.5,100.0,1.0,1.0235435825721044,0.90401,0.8988579364840115,100000,1.0,Poor
slug_flow,0.1,1.5,0.06666666666666667,-0.06666,0,1.5,100.0,1.0,1.03756761231696,0.95004,0.8490233311761486,100000,1.0,Poor
stratified_smooth,0.1,2.0,0.05,-0.05,0,2.0,100.0,1.0,1.0054655832107866,0.98801,0.8417120408377339,100000,1.0,Poor
stratified_wavy,0.1,2.0,0.05,-0.05,0,2.0,100.0,1.0,1.0239074736120783,0.90401,0.8767325868637602,100000,1.0,Poor
slug_flow,0.1,2.0,0.05,-0.05,0,2.0,100.0,1.0,1.0371366698839304,0.95004,0.899737689001026,100000,1.0,Poor
stratified_smooth,0.1,3.0,0.03333333333333333,-0.03333,0,3.0,100.0,1.0,1.005685421728061,0.988,0.8650099104951627,100000,1.0,Poor
stratified_wavy,0.1,3.0,0.03333333333333333,-0.03333,0,3.0,100.0,1.0,1.023529781108326,0.90402,0.8117673663517029,100000,1.0,Poor
slug_flow,0.1,3.0,0.03333333333333333,-0.03333,0,3.0,100.0,1.0,1.03718491935219,0.95003,0.8340230984380642,100000,1.0,Poor
stratified_smooth,0.1,5.0,0.02,-0.02,0,5.0,100.0,1.0,1.0056234942355544,0.988,0.8168027805629176,100000,1.0,Poor
stratified_wavy,0.1,5.0,0.02,-0.02,0,5.0,100.0,1.0,1.0238977634247053,0.904,0.853757815373366,100000,1.0,Poor
slug_flow,0.1,5.0,0.02,-0.02,0,5.0,100.0,1.0,1.0370447462594756,0.96,0.884721787733836,100000,1.0,Poor
stratified_smooth,0.2,0.5,0.4,-0.4,0,0.5,100.0,1.0,1.0047004199126093,0.99001,0.8623495022426205,100000,1.0,Poor
stratified_wavy,0.2,0.5,0.4,-0.4,0,0.5,100.0,1.0,1.0231649039919966,0.926,0.8560659456598458,100000,1.0,Poor
slug_flow,0.2,0.5,0.4,-0.4,0,0.5,100.0,1.0,1.0346728726716252,0.97003,0.8158077473442864,100000,1.0,Poor
stratified_smooth,0.2,1.0,0.2,-0.2,0,1.0,100.0,1.0,1.005559488461399,0.99,0.8267449534203901,100000,1.0,Poor
stratified_wavy,0.2,1.0,0.2,-0.2,0,1.0,100.0,1.0,1.0234679448719544,0.972,0.8582252039302778,100000,1.0,Poor
slug_flow,0.2,1.0,0.2,-0.2,0,1.0,100.0,1.0,1.0371343697929432,0.96003,0.8837003003626219,100000,1.0,Poor
stratified_smooth,0.2,1.5,0.13333333333333333,-0.13333,0,1.5,100.0,1.0,1.0054786681494086,0.98801,0.8838757308089444,100000,1.0,Poor
stratified_wavy,0.2,1.5,0.13333333333333333,-0.13333,0,1.5,100.0,1.0,1.0225230374234253,0.90401,0.8326971197586953,100000,1.0,Poor
slug_flow,0.2,1.5,0.13333333333333333,-0.13333,0,1.5,100.0,1.0,1.0365336485208334,0.96002,0.8544369401134514,100000,1.0,Poor
stratified_smooth,0.2,2.0,0.1,-0.1,0,2.0,100.0,1.0,1.005465116866662,0.98801,0.8952114310750146,100000,1.0,Poor
stratified_wavy,0.2,2.0,0.1,-0.1,0,2.0,100.0,1.0,1.0229103121180694,0.904,0.8633124302833162,100000,1.0,Poor
slug_flow,0.2,2.0,0.1,-0.1,0,2.0,100.0,1.0,1.037153734595838,0.96002,0.8054928549478289,100000,1.0,Poor
stratified_smooth,0.2,3.0,0.06666666666666667,-0.06666,0,3.0,100.0,1.0,1.0054246985973108,0.99,0.8290646716573322,100000,1.0,Poor
stratified_wavy,0.2,3.0,0.06666666666666667,-0.06666,0,3.0,100.0,1.0,1.0233271632532595,0.90401,0.884541488506853,100000,1.0,Poor
slug_flow,0.2,3.0,0.06666666666666667,-0.06666,0,3.0,100.0,1.0,1.0373331540274067,0.95003,0.8926555180925634,100000,1.0,Poor
stratified_smooth,0.2,5.0,0.04,-0.04,0,5.0,100.0,1.0,1.0056290064256783,0.988,0.8045644294227353,100000,1.0,Poor
stratified_wavy,0.2,5.0,0.04,-0.04,0,5.0,100.0,1.0,1.023932157415776,0.90202,0.8531957653523113,100000,1.0,Poor
slug_flow,0.2,5.0,0.04,-0.04,0,5.0,100.0,1.0,1.0372639427986374,0.96001,0.8411053067180096,100000,1.0,Poor
stratified_smooth,0.5,0.5,1.0,-0.99999,0,0.5,100.0,0.0,100.0,0.0,0.8482495286138841,100000,1.0,Poor
stratified_wavy,0.5,0.5,1.0,-0.99999,0,0.5,100.0,0.0,100.0,0.0,0.8237036161892177,100000,1.0,Poor
slug_flow,0.5,0.5,1.0,-0.99999,0,0.5,100.0,0.0,100.0,0.0,0.8166707203284089,100000,1.0,Poor
stratified_smooth,0.5,1.0,0.5,-0.5,0,1.0,100.0,1.0,1.004290219080547,0.99201,0.8267430215977525,100000,1.0,Poor
