temperature_C,frequency_Hz,sound_speed_m_per_s,density_kg_per_m3,viscosity_Pa_s,attenuation_dB_per_m,acoustic_impedance_Pa_s_per_m,medium
5.0,100,1426.1646510824996,999.9667157481591,0.23351539412422137,0.00018403874821193685,1426117.1822590865,water
5.0,1000,1426.1646510824996,999.9667157481591,0.23351539412422137,0.018403874821193687,1426117.1822590865,water
5.0,10000,1426.1646510824996,999.9667157481591,0.23351539412422137,1.8403874821193684,1426117.1822590865,water
5.0,100000,1426.1646510824996,999.9667157481591,0.23351539412422137,184.03874821193682,1426117.1822590865,water
6.0,100,1430.5931980984064,999.9429858662804,0.11268519012139587,8.798961929410902e-05,1430511.6340665116,water
6.0,1000,1430.5931980984064,999.9429858662804,0.11268519012139587,0.0087989619294109,1430511.6340665116,water
6.0,10000,1430.5931980984064,999.9429858662804,0.11268519012139587,0.8798961929410901,1430511.6340665116,water
6.0,100000,1430.5931980984064,999.9429858662804,0.11268519012139587,87.989619294109,1430511.6340665116,water
7.0,100,1434.916934963545,999.9042228414983,0.056241111041187564,4.352146522187961e-05,1434779.502696828,water
7.0,1000,1434.916934963545,999.9042228414983,0.056241111041187564,0.004352146522187959,1434779.502696828,water
7.0,10000,1434.916934963545,999.9042228414983,0.056241111041187564,0.43521465221879607,1434779.502696828,water
7.0,100000,1434.916934963545,999.9042228414983,0.056241111041187564,43.521465221879595,1434779.502696828,water
8.0,100,1439.137645053235,999.8508676092333,0.02903198062845974,2.2270129343268635e-05,1438923.023015586,water
8.0,1000,1439.137645053235,999.8508676092333,0.02903198062845974,0.002227012934326863,1438923.023015586,water
8.0,10000,1439.137645053235,999.8508676092333,0.02903198062845974,0.2227012934326863,1438923.023015586,water
8.0,100000,1439.137645053235,999.8508676092333,0.02903198062845974,22.27012934326863,1438923.023015586,water
9.0,100,1443.2570789137737,999.7833379769011,0.015500123670924184,1.1789258279986167e-05,1442944.3799152044,water
9.0,1000,1443.2570789137737,999.7833379769011,0.015500123670924184,0.0011789258279986164,1442944.3799152044,water
9.0,10000,1443.2570789137737,999.7833379769011,0.015500123670924184,0.11789258279986166,1442944.3799152044,water
9.0,100000,1443.2570789137737,999.7833379769011,0.015500123670924184,11.789258279986164,1442944.3799152044,water
10.0,100,1447.27695464,999.702030120676,0.008559125319768681,6.456425937104567e-06,1446845.7097004775,water
10.0,1000,1447.27695464,999.702030120676,0.008559125319768681,0.0006456425937104566,1446845.7097004775,water
10.0,10000,1447.27695464,999.702030120676,0.008559125319768681,0.06456425937104567,1446845.7097004775,water
10.0,100000,1447.27695464,999.702030120676,0.008559125319768681,6.456425937104566,1446845.7097004775,water
11.0,100,1451.1989582528663,999.6073199675034,0.004888316658774628,3.6579463561955987e-06,1450629.1013987805,water
11.0,1000,1451.1989582528663,999.6073199675034,0.004888316658774628,0.00036579463561955977,1450629.1013987805,water
11.0,10000,1451.1989582528663,999.6073199675034,0.004888316658774628,0.03657946356195599,1450629.1013987805,water
11.0,100000,1451.1989582528663,999.6073199675034,0.004888316658774628,3.6579463561955987,1450629.1013987805,water
12.0,100,1455.0247440770047,999.4995644724918,0.0028875200012468956,2.143974214104792e-06,1454296.598001665,water
12.0,1000,1455.0247440770047,999.4995644724918,0.0028875200012468956,0.00021439742141047917,1454296.598001665,water
12.0,10000,1455.0247440770047,999.4995644724918,0.0028875200012468956,0.02143974214104792,1454296.598001665,water
