phase,time_min,x_position_mm,y_position_mm,temperature_C,thermal_strain,estimated_residual_stress_MPa,distance_from_center_mm
sintering_peak,531.6666666666667,10,10,1262.64544114326,-0.000917222867995769,-77.96394377964036,56.568542494923804
sintering_end,621.6666666666667,10,10,1263.5127827833223,-0.0009081157807751154,-77.18984136588482,56.568542494923804
cool_500C,1046.6666666666667,10,10,467.7346273936116,-0.009263786412367078,-787.4218450512016,56.568542494923804
cool_200C,1196.6666666666667,10,10,188.51534670941277,-0.012195588859551165,-1219.5588859551165,56.568542494923804
cool_ambient,1284.1666666666667,10,10,23.029020832477382,-0.013933195281258987,-1393.3195281258988,56.568542494923804
sintering_peak,531.6666666666667,10,30,1281.6484174969655,-0.000717691616281862,-61.003787383958276,44.721359549995796
sintering_end,621.6666666666667,10,30,1281.6738590161578,-0.0007174244803303426,-60.98108082807912,44.721359549995796
cool_500C,1046.6666666666667,10,30,474.8010767128567,-0.009189588694515005,-781.1150390337755,44.721359549995796
cool_200C,1196.6666666666667,10,30,189.29317971424297,-0.012187421613000448,-1218.7421613000447,44.721359549995796
cool_ambient,1284.1666666666667,10,30,24.527347262109796,-0.013917462853747847,-1391.7462853747847,44.721359549995796
sintering_peak,531.6666666666667,10,50,1289.795740626828,-0.000632144723418305,-53.732301490555926,40.0
sintering_end,621.6666666666667,10,50,1287.9970325553388,-0.0006510311581689424,-55.337648444360106,40.0
cool_500C,1046.6666666666667,10,50,477.4618454558356,-0.009161650622713726,-778.7403029306668,40.0
cool_200C,1196.6666666666667,10,50,190.70631082321404,-0.012172583736356251,-1217.258373635625,40.0
cool_ambient,1284.1666666666667,10,50,24.24549048426273,-0.013920422349915241,-1392.042234991524,40.0
sintering_peak,531.6666666666667,10,70,1281.3299911736794,-0.0007210350926763658,-61.287982877491096,44.721359549995796
sintering_end,621.6666666666667,10,70,1281.7120032514551,-0.000717023965859721,-60.94703709807629,44.721359549995796
cool_500C,1046.6666666666667,10,70,474.27196991977,-0.009195144315842414,-781.5872668466052,44.721359549995796
cool_200C,1196.6666666666667,10,70,189.85488051962574,-0.012181523754543929,-1218.152375454393,44.721359549995796
cool_ambient,1284.1666666666667,10,70,24.35996847481792,-0.013919220331014412,-1391.9220331014412,44.721359549995796
sintering_peak,531.6666666666667,10,90,1264.1952514786963,-0.0009009498594736892,-76.58073805526358,56.568542494923804
sintering_end,621.6666666666667,10,90,1263.0299452758782,-0.0009131855746032792,-77.62077384127873,56.568542494923804
cool_500C,1046.6666666666667,10,90,467.9269983515224,-0.009261766517309014,-787.2501539712663,56.568542494923804
cool_200C,1196.6666666666667,10,90,187.27666066783593,-0.01220859506298772,-1220.8595062987722,56.568542494923804
cool_ambient,1284.1666666666667,10,90,23.729519049913655,-0.013925840049975905,-1392.5840049975905,56.568542494923804
sintering_peak,531.6666666666667,30,10,1281.7653592348229,-0.0007164637280343597,-60.89941688292057,44.721359549995796
sintering_end,621.6666666666667,30,10,1281.4083206877851,-0.000720212632778256,-61.21807378615176,44.721359549995796
cool_500C,1046.6666666666667,30,10,474.918401443741,-0.009188356784840718,-781.0103267114611,44.721359549995796
cool_200C,1196.6666666666667,30,10,189.4412234929106,-0.012185867153324438,-1218.5867153324436,44.721359549995796
cool_ambient,1284.1666666666667,30,10,23.112551729420737,-0.01393231820684108,-1393.231820684108,44.721359549995796
sintering_peak,531.6666666666667,30,30,1307.2280086849464,-0.0004491059088080626,-38.17400224868532,28.284271247461902
sintering_end,621.6666666666667,30,30,1307.2126106937717,-0.0004492675877153972,-38.18774495580876,28.284271247461902
cool_500C,1046.6666666666667,30,30,484.6924548841658,-0.00908572922371626,-772.2869840158821,28.284271247461902
cool_200C,1196.6666666666667,30,30,193.4250517734036,-0.012144036956379263,-1214.4036956379264,28.284271247461902
cool_ambient,1284.1666666666667,30,30,23.618876409554137,-0.013927001797699682,-1392.7001797699684,28.284271247461902
sintering_peak,531.6666666666667,30,50,1319.484146744139,-0.0003204164591865402,-27.235399030855916,20.0
sintering_end,621.6666666666667,30,50,1320.2914106363778,-0.000311940188318033,-26.51491600703281,20.0
cool_500C,1046.6666666666667,30,50,488.95377756934556,-0.00904098533552187,-768.483753519359,20.0
cool_200C,1196.6666666666667,30,50,195.35012810909132,-0.012123823654854541,-1212.382365485454,20.0
cool_ambient,1284.1666666666667,30,50,25.13060900069984,-0.01391112860549265,-1391.1128605492652,20.0
sintering_peak,531.6666666666667,30,70,1307.032860844186,-0.0004511549611360474,-38.34817169656402,28.284271247461902
sintering_end,621.6666666666667,30,70,1306.3317373682232,-0.0004585167576336561,-38.97392439886077,28.284271247461902
cool_500C,1046.6666666666667,30,70,484.1828839851319,-0.009091079718156115,-772.7417760432697,28.284271247461902
cool_200C,1196.6666666666667,30,70,194.23004313936727,-0.012135584547036641,-1213.558454703664,28.284271247461902
cool_ambient,1284.1666666666667,30,70,24.514116957812227,-0.013917601771942971,-1391.760177194297,28.284271247461902
sintering_peak,531.6666666666667,30,90,1281.603986321771,-0.0007181581436214057,-61.04344220781948,44.721359549995796
sintering_end,621.6666666666667,30,90,1281.701255067149,-0.0007171368217949347,-60.95662985256945,44.721359549995796
cool_500C,1046.6666666666667,30,90,474.3174535614463,-0.009194666737604813,-781.5466726964091,44.721359549995796
cool_200C,1196.6666666666667,30,90,190.96489109900466,-0.01216986864346045,-1216.986864346045,44.721359549995796
cool_ambient,1284.1666666666667,30,90,22.916309117207014,-0.013934378754269327,-1393.4378754269326,44.721359549995796
sintering_peak,531.6666666666667,50,10,1288.5739029856113,-0.0006449740186510812,-54.8227915853419,40.0
sintering_end,621.6666666666667,50,10,1289.063988203999,-0.0006398281238580095,-54.38539052793081,40.0
cool_500C,1046.6666666666667,50,10,477.60145321794914,-0.009160184741211533,-778.6157030029804,40.0
cool_200C,1196.6666666666667,50,10,191.25965513042462,-0.012166773621130542,-1216.6773621130542,40.0
cool_ambient,1284.1666666666667,50,10,23.84517542494324,-0.013924625658038096,-1392.4625658038096,40.0
sintering_peak,531.6666666666667,50,30,1319.0826741928352,-0.00032463192097523084,-27.593713282894623,20.0
sintering_end,621.6666666666667,50,30,1318.3901118864826,-0.00033190382519193267,-28.211825141314275,20.0
cool_500C,1046.6666666666667,50,30,488.1450765877713,-0.0090494766958284,-769.2055191454141,20.0
cool_200C,1196.6666666666667,50,30,195.82159840223156,-0.012118873216776568,-1211.8873216776567,20.0
cool_ambient,1284.1666666666667,50,30,25.039449657897396,-0.013912085778592076,-1391.2085778592077,20.0
sintering_peak,531.6666666666667,50,50,1349.8579609908918,-1.4914095956361279e-06,-0.12676981562907086,0.0
sintering_end,621.6666666666667,50,50,1349.9303520786887,-7.313031737691062e-07,-0.062160769770374026,0.0
cool_500C,1046.6666666666667,50,50,499.9421259505581,-0.00892560767751914,-758.6766525891269,0.0
cool_200C,1196.6666666666667,50,50,200.2574829251746,-0.012072296429285666,-1026.1451964892815,0.0
cool_ambient,1284.1666666666667,50,50,26.058797180470986,-0.013901382629605054,-1390.1382629605055,0.0
sintering_peak,531.6666666666667,50,70,1319.2261143236612,-0.00032312579960155685,-27.46569296613233,20.0
sintering_end,621.6666666666667,50,70,1319.063283274277,-0.00032483552562009193,-27.611019677707812,20.0
cool_500C,1046.6666666666667,50,70,489.4535693502869,-0.009035737521821987,-768.0376893548689,20.0
cool_200C,1196.6666666666667,50,70,195.94908377088956,-0.01211753462040566,-1211.7534620405659,20.0
cool_ambient,1284.1666666666667,50,70,25.47253524835644,-0.013907538379892255,-1390.7538379892255,20.0
sintering_peak,531.6666666666667,50,90,1288.38063294378,-0.0006470033540903096,-54.99528509767632,40.0
sintering_end,621.6666666666667,50,90,1290.3171359379203,-0.000626670072651837,-53.26695617540614,40.0
