Mix_ID,Temperature_C,Data_Type,Property_Type,Thermal_Strain,Thermal_Strain_Std,Creep_Coefficient,Creep_Coefficient_Std,Shrinkage_Strain,Shrinkage_Strain_Std
C,20,Calibration,Deformation,0.000006,0.000001,0.5032,0.1006,-0.000550,0.000138
C,40,Calibration,Deformation,0.000174,0.000017,0.505,0.101,-0.000600,0.000150
C,60,Calibration,Deformation,0.000348,0.000035,0.5079,0.1016,-0.000650,0.000163
C,80,Calibration,Deformation,0.000528,0.000053,0.5122,0.1024,-0.000700,0.000175
C,100,Calibration,Deformation,0.000717,0.000072,0.5183,0.1037,-0.000750,0.000188
C,120,Calibration,Deformation,0.000914,0.000091,0.5271,0.1054,-0.000800,0.000200
C,140,Calibration,Deformation,0.001122,0.000112,0.5392,0.1078,-0.000850,0.000212
C,160,Calibration,Deformation,0.001343,0.000134,0.5556,0.1111,-0.000900,0.000225
C,180,Calibration,Deformation,0.001579,0.000158,0.5773,0.1155,-0.000950,0.000237
C,200,Calibration,Deformation,0.001831,0.000183,0.6054,0.1211,-0.001000,0.000250
C,220,Calibration,Deformation,0.002102,0.000210,0.6409,0.1282,-0.001050,0.000263
C,240,Calibration,Deformation,0.002393,0.000239,0.6845,0.1369,-0.001100,0.000275
C,260,Calibration,Deformation,0.002706,0.000271,0.7369,0.1474,-0.001150,0.000287
C,280,Calibration,Deformation,0.003040,0.000304,0.7982,0.1596,-0.001200,0.000300
C,300,Calibration,Deformation,0.003396,0.000340,0.8679,0.1736,-0.001250,0.000313
C,320,Calibration,Deformation,0.003770,0.000377,0.9449,0.189,-0.001300,0.000325
C,340,Calibration,Deformation,0.004159,0.000416,1.0273,0.2055,-0.001350,0.000338
C,360,Calibration,Deformation,0.004557,0.000456,1.1126,0.2225,-0.001400,0.000350
C,380,Calibration,Deformation,0.004959,0.000496,1.1977,0.2395,-0.001450,0.000362
C,400,Calibration,Deformation,0.005358,0.000536,1.2788,0.2558,-0.001500,0.000375
C,420,Calibration,Deformation,0.005744,0.000574,1.3521,0.2704,-0.001550,0.000388
C,440,Calibration,Deformation,0.006112,0.000611,1.4139,0.2828,-0.001600,0.000400
C,460,Calibration,Deformation,0.006454,0.000645,1.4608,0.2922,-0.001650,0.000412
