Dataset,Parameter,Mix_ID,Temperature_C,Data_Type,Mean_Value,Std_Value,CoV,Rubber_Content
thermal_conductivity,Thermal_Conductivity_W_m_K,C,20,Calibration,1.95,0.195,0.1,0.0
thermal_conductivity,Thermal_Conductivity_W_m_K,C,30,Validation,1.93,0.193,0.1,0.0
thermal_conductivity,Thermal_Conductivity_W_m_K,C,40,Validation,1.91,0.191,0.1,0.0
thermal_conductivity,Thermal_Conductivity_W_m_K,C,50,Calibration,1.8901,0.189,0.09999470927464156,0.0
thermal_conductivity,Thermal_Conductivity_W_m_K,C,60,Calibration,1.8701,0.187,0.09999465269236939,0.0
thermal_conductivity,Thermal_Conductivity_W_m_K,C,70,Calibration,1.8502,0.185,0.09998919035779916,0.0
thermal_conductivity,Thermal_Conductivity_W_m_K,C,80,Calibration,1.8304,0.183,0.09997814685314685,0.0
thermal_conductivity,Thermal_Conductivity_W_m_K,C,90,Validation,1.8105,0.1811,0.10002761668047501,0.0
thermal_conductivity,Thermal_Conductivity_W_m_K,C,100,Calibration,1.7907,0.1791,0.10001675322499581,0.0
thermal_conductivity,Thermal_Conductivity_W_m_K,C,110,Validation,1.771,0.1771,0.1,0.0
thermal_conductivity,Thermal_Conductivity_W_m_K,C,120,Calibration,1.7512,0.1751,0.09998857925993604,0.0
thermal_conductivity,Thermal_Conductivity_W_m_K,C,130,Validation,1.7316,0.1732,0.10002310002310001,0.0
thermal_conductivity,Thermal_Conductivity_W_m_K,C,140,Validation,1.7119,0.1712,0.10000584146270226,0.0
thermal_conductivity,Thermal_Conductivity_W_m_K,C,150,Calibration,1.6924,0.1692,0.09997636492554951,0.0
thermal_conductivity,Thermal_Conductivity_W_m_K,C,160,Calibration,1.6728,0.1673,0.10001195600191295,0.0
thermal_conductivity,Thermal_Conductivity_W_m_K,C,170,Calibration,1.6534,0.1653,0.09997580742711988,0.0
thermal_conductivity,Thermal_Conductivity_W_m_K,C,180,Calibration,1.634,0.1634,0.1,0.0
thermal_conductivity,Thermal_Conductivity_W_m_K,C,190,Calibration,1.6146,0.1615,0.10002477393781742,0.0
thermal_conductivity,Thermal_Conductivity_W_m_K,C,200,Calibration,1.5954,0.1595,0.09997492791776358,0.0
thermal_conductivity,Thermal_Conductivity_W_m_K,C,210,Calibration,1.5762,0.1576,0.09998731125491687,0.0
thermal_conductivity,Thermal_Conductivity_W_m_K,C,220,Calibration,1.557,0.1557,0.1,0.0
thermal_conductivity,Thermal_Conductivity_W_m_K,C,230,Calibration,1.538,0.1538,0.09999999999999999,0.0
thermal_conductivity,Thermal_Conductivity_W_m_K,C,240,Calibration,1.519,0.1519,0.1,0.0
thermal_conductivity,Thermal_Conductivity_W_m_K,C,250,Calibration,1.5001,0.15,0.09999333377774815,0.0
thermal_conductivity,Thermal_Conductivity_W_m_K,C,260,Calibration,1.4812,0.1481,0.09998649743451256,0.0
thermal_conductivity,Thermal_Conductivity_W_m_K,C,270,Validation,1.4625,0.1462,0.09996581196581197,0.0
thermal_conductivity,Thermal_Conductivity_W_m_K,C,280,Calibration,1.4438,0.1444,0.1000138523341183,0.0
thermal_conductivity,Thermal_Conductivity_W_m_K,C,290,Calibration,1.4252,0.1425,0.09998596688184114,0.0
thermal_conductivity,Thermal_Conductivity_W_m_K,C,300,Calibration,1.4067,0.1407,0.1000213265088505,0.0
thermal_conductivity,Thermal_Conductivity_W_m_K,C,310,Calibration,1.3882,0.1388,0.09998559285405562,0.0
thermal_conductivity,Thermal_Conductivity_W_m_K,C,320,Calibration,1.3699,0.137,0.10000729980290533,0.0
thermal_conductivity,Thermal_Conductivity_W_m_K,C,330,Calibration,1.3517,0.1352,0.10002219427387733,0.0
