respondent_id,sector,location,firm_size,firm_age_years,owner_age,owner_gender,owner_education,employee_count,annual_revenue_tzs,export_activity,formal_registration,barrier_rigid_hierarchy,barrier_centralized_decision,barrier_departmental_silos,barrier_risk_aversion,barrier_nih_syndrome,barrier_resistance_external,barrier_financial_constraints,barrier_human_capital,barrier_tech_infrastructure,barrier_limited_awareness,barrier_knowledge_gaps,barrier_trust_deficit,barrier_weak_networks,barrier_poor_collaboration,dl_technical,dl_informational,dl_communicative,dl_strategic,uses_computer,uses_internet_daily,uses_cloud_services,uses_social_media_business,uses_digital_payments,uses_erp_software,dl_composite,oi_adoption_score,oi_customer_collab,oi_supplier_collab,oi_competitor_collab,oi_university_collab,oi_consultant_use,oi_joint_rd,oi_licensing_in,oi_licensing_out,oi_crowdsourcing,new_products_last_year,process_improvements,revenue_from_innovation_pct,oi_breadth,oi_depth
SME_0001,Retail/Wholesale,Mwanza,Medium (50-99 employees),21,55,Male,Diploma,71,39638958.8638785,No,No,6.707706066401896,5.417021492194327,5.0047012754757505,7.0,6.585851782681863,5.209699150391526,6.847179522690735,4.467476096472461,6.13771975494149,7.0,5.06014951506839,4.5523660713809155,4.417493333688327,3.583477051454895,3.085664761146418,2.5218403869355654,2.9238587270466145,2.2649035332154055,0,0,0,0,1,1,2.699066852086001,3.9878461850688582,1,1,0,0,1,0,0,0,0,0,1,9.675115746811187,3,0
SME_0002,Manufacturing,Mwanza,Small (5-49 employees),22,47,Male,University,31,14381860.757868994,Yes,Yes,3.9582857102467566,4.792441091550968,2.772762875067766,5.6156183339496035,6.382732608543977,4.001468201838388,7.0,6.0107920885275945,6.833638644186463,4.310598535377436,6.239977749773278,4.308066099604687,6.268297001003811,5.22339114173159,3.5168536732319553,5.5236429878660225,4.619575498081748,4.3104727541807515,1,1,1,0,1,1,4.492636228340119,5.832830618181079,1,0,1,1,1,1,0,0,1,5,2,15.98800664942021,4,2
SME_0003,Retail/Wholesale,Dar es Salaam,Medium (50-99 employees),19,51,Male,Diploma,56,196813868.30328974,Yes,No,5.563901463981741,3.9068459338126633,3.4364092050404142,6.197228218253385,4.16198239493096,5.509526921309035,4.769575974185779,6.3481742126666685,4.34422435375464,5.762759925215429,5.988194027010602,4.7032281815704255,5.898431880501672,5.338574942333623,1.5981889659566821,3.2508255961772714,1.8141405821785792,3.9053559623618064,1,0,0,1,1,0,2.642127776668585,5.449055984593856,0,1,0,0,0,0,0,1,0,2,3,20.460580086652286,1,1
SME_0004,Agriculture/Agribusiness,Mwanza,Small (5-49 employees),21,38,Male,Diploma,11,55794838.54494222,No,Yes,4.253389772568714,4.0905898475161715,2.0485866008256477,5.949650047299694,3.422236674365535,5.104878619385439,5.762896605525976,6.179142775438195,5.36774995056115,4.704662656383491,6.105057774717126,5.735058029084118,5.579387148619334,5.610047866751084,3.9791490753903123,3.9897496289151593,2.7688840461801147,3.260797243615967,1,0,1,1,1,0,3.499644998525388,5.224516000603706,1,0,1,1,1,0,0,0,0,1,3,7.967104697301327,4,0
SME_0005,Retail/Wholesale,Dar es Salaam,Medium (50-99 employees),6,25,Male,Diploma,85,117863062.28579837,No,Yes,2.857313452151473,5.83246754798568,5.1962094322176835,4.383316871423503,4.807103431590959,4.756761983609605,5.77895289403844,5.633859966568535,7.0,6.198120073207395,3.6565588872254535,5.822069990306049,6.594719983442491,5.302851076895963,2.282132545374605,4.6710150221030835,3.9191937260013567,4.350049041553427,1,1,0,1,1,0,3.805597583758118,5.132243785380561,1,0,1,0,1,1,0,0,1,1,3,15.968275121437923,3,2
SME_0006,Manufacturing,Dar es Salaam,Small (5-49 employees),16,29,Male,Secondary,28,112541505.15392515,No,Yes,6.509176510223161,7.0,6.230822409939076,6.149308595641729,6.854106168901705,5.45937661640658,6.1715127389564595,5.448585764286268,7.0,4.417885600869599,7.0,6.1998641237403715,3.8208325902376705,5.777944080888848,3.959726588402015,5.3824550635385755,4.278030164715783,2.7886967730505208,1,1,1,1,1,0,4.102227147426723,4.312814208461477,0,1,0,0,1,0,0,1,0,2,0,9.327746542240115,2,1
SME_0007,Manufacturing,Mwanza,Small (5-49 employees),7,46,Female,Diploma,39,85027488.45335825,Yes,Yes,2.1799681908180513,5.68805881851414,5.550800927885689,4.8076440443479465,5.248257235146699,6.949573177125314,5.444827966164256,4.2410924129434,7.0,7.0,5.104065239032632,6.211463035408356,6.609771098637057,3.8347704977001005,3.2936993729198814,4.585236578644439,2.550563812032494,1.627920812730386,0,0,0,1,1,0,3.0143551440818004,5.2546567882486395,1,1,1,0,0,0,0,1,1,2,1,13.763347441152202,3,2
SME_0008,Manufacturing,Mwanza,Small (5-49 employees),2,30,Female,University,28,80455467.91767061,No,Yes,4.117632997558558,6.353961964470209,6.590518562321062,5.962880860174355,4.044222775797536,6.985767222869385,5.422126191969231,4.964862218828548,5.876571617938584,6.764992504857729,6.039373574207446,5.614865500361911,5.555946236141727,4.856569069236506,5.643953704030771,5.502851453250037,4.674818099101473,4.8429263773213425,1,1,1,1,1,0,5.1661374084259055,5.203279967291264,1,0,1,1,1,1,0,0,1,1,0,23.39036208950921,4,2
SME_0009,Retail/Wholesale,Dar es Salaam,Medium (50-99 employees),3,39,Female,Secondary,58,116642667.53820428,Yes,Yes,5.669767417422207,2.517483914536266,4.314410303209263,5.941321934916781,4.018783099656591,5.524955649592716,5.86597590111249,7.0,7.0,4.641033317058205,5.234078517276635,5.4260524343916074,4.758008628608453,5.353532479236565,3.994775302676771,3.347753381639357,3.7922318049081998,2.323123539356164,0,1,0,1,1,0,3.3644710071451227,4.875049705006308,0,0,1,1,0,1,0,0,0,2,2,13.025612725004356,2,1
SME_0010,Manufacturing,Mwanza,Small (5-49 employees),4,55,Male,Primary,49,57365523.53828624,No,No,4.090061517334892,4.056323131568721,5.509524591070349,6.329529584221811,4.434821088408009,6.084890973838859,5.481580043751202,5.853165238037981,6.702378413873702,5.159664922355544,5.900215003355248,4.983570356112429,5.064240099886283,4.832382739855557,3.041692696149497,1.2102643800599315,1.0,1.2799819723403263,1,0,1,0,1,0,1.632984762137439,5.2147872422290735,1,0,1,0,1,0,0,0,1,1,0,9.648340101209005,3,1
SME_0011,Retail/Wholesale,Arusha,Medium (50-99 employees),10,42,Male,Secondary,93,130346713.73698047,No,Yes,4.104105984151714,5.10554842057264,2.6867962114771293,5.208846252857896,5.058149407956395,4.818202272255082,5.832652298716299,5.538235800139871,6.32738566989467,6.249420488959027,4.685258250466907,4.296799144610856,4.049546705308276,4.466636202446594,2.8980745020880323,1.5585322944835758,2.980510803480287,1.0,0,1,0,1,1,0,2.1092794000129738,4.9595569615812165,1,0,1,1,1,0,0,0,1,1,2,12.66152379356847,4,1
SME_0012,Manufacturing,Dar es Salaam,Medium (50-99 employees),1,43,Female,Diploma,62,91150479.8389887,Yes,Yes,4.2776944186201895,4.1530043271827966,2.7150483364751374,4.943879172525812,5.317711944136766,5.4545324124191215,5.39831925220251,4.887002177856566,4.480631860267958,4.862272995550269,4.166728502390105,5.7731278132412,2.8569602096790665,4.332481425811799,3.483016504713112,4.455130632660906,2.9532883466510778,4.753194802065585,1,0,0,1,1,0,3.9111575715226703,5.879047510008413,1,1,0,0,1,1,1,0,0,6,5,12.489087674578236,3,2
SME_0013,Retail/Wholesale,Dar es Salaam,Small (5-49 employees),12,43,Male,Diploma,16,41975298.01285681,No,Yes,5.2613288070300905,5.402217967954755,7.0,5.949800024567908,4.095134483789589,4.89498932820202,4.401378299880193,5.419400250703239,4.783638337299165,6.198468330672195,4.695505697944912,5.283234084204754,4.437330590314716,7.0,2.707877909441429,2.869944134366588,3.064314774253599,4.142180131244854,0,1,0,1,1,0,3.196079237326617,4.700476588778745,0,0,1,1,0,1,1,0,0,1,3,9.941800646669048,2,2
SME_0014,Retail/Wholesale,Dar es Salaam,Small (5-49 employees),2,25,Female,Diploma,36,16279639.251104193,No,Yes,4.3145086806585065,7.0,5.458397290753747,5.882066727335387,5.5424797767810245,5.233177028037876,4.16509467858895,5.021116605849243,6.429673768302754,4.841323379831073,3.554291168516068,5.1475955494225305,7.0,6.420959230195136,1.9527298036323382,4.333096592312009,3.6794510519610797,2.909591261719529,1,1,0,0,0,0,3.218717177406239,4.163321313213211,0,0,0,0,0,0,0,1,1,3,1,0.77476843138043,0,2
SME_0015,Retail/Wholesale,Mwanza,Small (5-49 employees),4,47,Male,University,9,80234346.65166683,No,Yes,4.625595188760762,6.046594204763895,3.923540873521533,3.6961284131732812,3.9906408142445353,6.519177645359018,5.653406226353626,5.056616020624982,5.170177984097632,7.0,6.88855480689827,7.0,4.809145747519938,5.184311835371224,4.412915231669103,1.4010852796128574,4.416479067810354,3.834271814200222,1,1,0,1,1,0,3.516187848323134,4.2997739814861875,0,1,0,0,0,0,0,1,0,3,0,14.858728255686486,1,1
SME_0016,Manufacturing,Mwanza,Small (5-49 employees),6,33,Male,Secondary,40,173088172.91460675,No,Yes,3.180028940695051,6.924627868730102,3.1818865833516847,5.916775563762629,4.0832369668405875,4.452246490587434,5.296463812055269,4.992124739324182,5.206965026536123,4.542077446089908,6.316667302958338,4.39513720693748,5.56464971241664,6.683346897997225,2.3553036326095036,5.229750470668995,3.2098106362521275,4.186567746753176,0,1,0,1,1,0,3.74535812157095,4.845211310431788,0,0,0,1,1,1,0,0,0,2,0,23.41270680706881,2,1
SME_0017,ICT/Business Services,Dar es Salaam,Small (5-49 employees),7,32,Male,Secondary,27,111884424.86569695,No,Yes,4.184164362583925,4.310289220177638,4.200317987265674,6.67972520836071,5.432929157144029,4.315664275931641,6.385488986069236,4.297707850163576,6.349495461487242,5.490328769242121,4.861410681747228,4.461414201552769,4.035982893259851,5.595262537249683,6.592859024545829,5.530955883535751,5.7775473055706215,6.072236725327388,1,1,1,1,1,0,5.993399734744898,6.8876248273593585,1,1,0,1,1,1,0,0,0,2,3,17.822013342466594,4,1
SME_0018,Manufacturing,Mwanza,Small (5-49 employees),17,36,Male,Diploma,16,27689525.88312085,No,Yes,6.374776602986874,4.498961478268326,5.19590271461693,3.512972981397932,4.598458723211361,4.965835173842008,5.1812849247163495,4.563493625210404,4.965442487884225,5.4506312739916485,5.093938079752989,3.1617687666750283,2.6551598168379207,4.211075268785672,3.1541836713423184,4.476700037295468,3.3308441350274545,2.5163413625624313,0,1,0,0,1,0,3.369517301556918,5.327453745784382,1,1,1,0,1,0,0,1,0,3,3,12.995455932127431,4,1
SME_0019,Retail/Wholesale,Arusha,Medium (50-99 employees),20,33,Female,Secondary,57,158176353.71294853,No,Yes,5.749223903264262,2.4777446730022414,4.25035077100288,5.373752143482579,7.0,4.8764760071158495,6.494690086266835,5.941257140087463,3.6563768722120793,6.321848659958085,5.836936156001917,6.20826863967459,7.0,2.5906531786518348,3.3026204607084475,3.4268325420673724,3.0205579726338665,3.6144445908748524,1,0,0,1,1,0,3.3411138915711347,4.760418562093973,1,0,1,0,0,1,0,0,0,3,1,23.714863482569683,2,1
SME_0020,Retail/Wholesale,Mwanza,Medium (50-99 employees),18,42,Female,Diploma,84,114259419.97965138,No,Yes,6.96963597971333,4.883807728659609,4.973527575723913,5.5544877546987586,4.790916399922349,4.373183778937365,6.2965578620157086,3.982826303328321,6.525637084273942,4.600566714137695,4.056923727055607,4.949987142004186,6.708579060235087,4.30406438687891,2.712833291856469,3.0451633036081116,1.4799680690590615,2.9580938985767857,0,0,0,1,1,0,2.5490146407751073,3.805958874381135,0,0,0,0,0,1,0,0,1,1,2,10.701649394918329,0,2
SME_0021,Manufacturing,Dar es Salaam,Medium (50-99 employees),8,31,Male,Secondary,71,134946449.53706524,No,No,5.430144341851545,4.495948096712979,5.685298404900705,6.385507738790205,7.0,4.906879659950863,6.651789324282116,5.698067539538944,7.0,4.337401134869523,6.21950584416501,5.305302703883318,5.222974187469802,5.219278229782884,3.726754774378521,4.405140070551983,3.716513240449531,5.2754908492400485,0,0,1,0,1,0,4.280974733655021,4.8208968447851195,0,1,1,1,1,0,0,1,1,0,2,10.321221732613363,4,2
SME_0022,Retail/Wholesale,Mwanza,Small (5-49 employees),2,41,Male,Diploma,37,132569638.78580731,No,Yes,5.002688475712013,4.872148052565846,4.679127138121685,6.978118057562185,6.282539622738263,5.756070051746586,5.490014426578516,4.410759171771676,6.550830614061528,5.951256151035754,6.7199377433260805,4.596019374030771,4.724541613567584,2.6686705887169353,1.8166431853137868,3.5531074429967435,4.291679527558119,1.5296379536749136,0,0,0,1,0,0,2.7977670273858912,4.558371741519086,0,0,0,0,0,0,0,0,1,2,1,16.065304300518676,0,1
