sim_id,soil_type,embedment_ratio_H_D,groundwater_condition,cohesion_kpa,friction_angle_deg,elastic_modulus_mpa,loading_rate_kpa_per_day,max_settlement_mm,max_lateral_displacement_mm,peak_pore_pressure_kpa,failure_mode,failed,source_reference
FEM-00001,Sand,0.8,Dry,2.41,35.852,78.948,55.225,42.541,27.904,133.507,Stable,0,FEM parametric study (synthetic)
FEM-00002,Sand,0.8,Dry,2.236,40.49,56.915,44.886,50.491,31.975,126.523,Excessive settlement,1,FEM parametric study (synthetic)
FEM-00003,Sand,0.8,Dry,1.426,36.214,77.299,58.552,42.85,30.324,145.591,Stable,0,FEM parametric study (synthetic)
FEM-00004,Sand,0.8,Dry,4.15,39.717,27.109,36.319,85.997,63.274,106.155,Structural buckling,1,FEM parametric study (synthetic)
FEM-00005,Sand,0.8,Dry,2.477,33.128,98.203,10.513,26.274,18.361,103.432,Stable,0,FEM parametric study (synthetic)
FEM-00006,Sand,0.8,Dry,6.682,32.317,107.43,45.147,30.28,22.598,131.434,Stable,0,FEM parametric study (synthetic)
FEM-00007,Sand,0.8,Dry,9.164,40.869,21.873,67.729,118.88,85.245,145.006,Structural buckling,1,FEM parametric study (synthetic)
FEM-00008,Sand,0.8,Dry,8.602,41.15,20.313,9.576,90.077,64.551,95.779,Structural buckling,1,FEM parametric study (synthetic)
FEM-00009,Sand,0.8,Dry,6.729,39.866,72.405,38.198,40.836,29.679,127.811,Stable,0,FEM parametric study (synthetic)
FEM-00010,Sand,0.8,Dry,4.353,35.539,88.035,82.105,40.994,27.006,139.634,Stable,0,FEM parametric study (synthetic)
FEM-00011,Sand,0.8,Dry,3.919,33.732,100.521,41.592,29.343,20.04,111.637,Stable,0,FEM parametric study (synthetic)
FEM-00012,Sand,0.8,Dry,4.978,37.682,109.947,58.741,32.361,20.593,135.766,Stable,0,FEM parametric study (synthetic)
