Sample_ID,Depth_m,P_Wave_Velocity_m_per_s,S_Wave_Velocity_m_per_s,Extensometer_Displacement_mm,Pressure_Cell_kPa,Loading_Stage,Clay_Type,Undrained_Shear_Strength_kPa,Plasticity_Index,Void_Ratio,Failure_Mode
1,5.906636153270507,1424.0685250862339,172.88986279159028,37.13441322445807,462.5322782235275,4,London Clay,86.5067793840514,22.53540037339492,1.1676753640221924,None
2,13.234516566918971,1676.7613246403296,635.016765058977,-24.182760971507644,183.05655896437563,3,London Clay,40.660219689742306,17.249867772606898,0.7081301022180324,None
3,5.98234793275605,462.0434362373689,671.3248756838645,98.45975134678886,51.818363240397794,4,Mudstone Formation,26.949632638626362,18.22833816775944,0.6732557063554201,Settlement
4,7.934154500015723,648.9549575801625,254.38590177815058,78.62087052357006,351.20268293310096,4,London Clay,77.93993273207704,54.71083946050935,1.0996846356025327,None
5,15.106409445356585,1425.3911911309733,499.2713229480678,13.148680496807415,149.7288619671273,5,London Clay,26.415443280664768,46.343355789715346,0.8510936255134132,None
6,2.043270741705676,711.7600102606174,274.77103534722175,74.3037448068097,134.42845645208584,3,Mudstone Formation,94.01350214793926,51.8794990386069,0.8131554735222573,Heave
7,6.545229887798197,1236.9959614255752,617.5023723786953,-6.027608726204626,498.98872777913016,1,London Clay,69.75479487131027,22.802188889454534,0.9815823356227448,Heave
8,28.06134483921352,421.7463366955718,326.50779586536567,38.9678718681059,429.06946251332715,2,Mudstone Formation,118.43458555865602,53.4227414529374,0.8638673906248723,None
9,13.98348877975467,978.3037186553081,355.53982966616456,129.88250443346504,203.96890918392052,5,Keuper Marl,59.73430458870385,20.706174058926482,0.5300125158056923,Settlement
10,13.361595779336167,1408.6371329894296,699.2310548660658,-23.293153367850117,490.13060390824955,3,Keuper Marl,97.08775112576618,35.36327314265884,0.9393580982919437,None
11,0.43701464253836697,1329.7709145648787,459.6095289344878,27.3392899974924,325.05661170960684,4,Keuper Marl,89.89885782816306,48.18782737668256,0.5067751034257028,None
12,7.421992411750374,1522.6081510137103,585.3403932918611,114.22848494406946,371.0112259398801,3,Mudstone Formation,20.61261531789135,28.992134180463175,1.0446861642672496,None
13,25.98877307946544,1616.1781899047533,411.54248296960395,143.89817988123562,15.756521541105794,2,Mudstone Formation,29.410621774360344,31.99314132707602,1.1917892781698167,None
14,4.938852847760062,1459.7752518881373,343.704457175941,40.78522728435918,60.80262967402855,2,London Clay,57.747867623182664,20.127404411963916,0.701910099979821,Heave
15,12.453748186041633,1307.381614408389,556.5607392760298,51.39992402866949,316.54256324811917,1,London Clay,134.69056053269946,19.91687519995891,0.75580471856161,None
16,0.4299271760100376,347.5837377240467,250.65742315123384,64.43439235675395,449.5119913247419,1,London Clay,39.11194413697122,39.782728991146385,0.43714692438624986,None
17,14.350064450116676,1102.4500101141662,392.449893118461,136.46962832674217,311.8718630437978,2,London Clay,112.41626295987041,42.02129474480227,0.41098655046606264,Settlement
18,0.6306332017865146,356.5465873722792,285.8740743008495,121.64135819540596,67.01244715949589,5,London Clay,146.53765359979735,46.09330056328773,1.1371354679010621,None
19,24.588286591973997,1512.101725674034,602.2667285114846,-15.879775075671134,57.88002312316232,5,Mudstone Formation,122.77378184985018,37.26728210727014,0.5028992483513537,None
