Date,Precipitation_mm,Temperature_C,Evapotranspiration_mm,Soil_Moisture_percent,Pore_Water_Pressure_kPa,Matric_Suction_kPa,Embankment_Settlement_mm,Crack_Width_mm,Alert_Level
2020-01-01,1.2568460668334163,10.468504323709212,3.7261692652849456,24.80548408965781,119.32792635448078,29.847527290375055,0.0010278916215706868,3.1285517436889414,Green
2020-01-02,3.3272863527061345,16.200697310182917,2.137340727599388,30.230907455942667,17.08292560461817,26.55616491424231,0.16039944180556173,0.0,Green
2020-01-03,10.731318603227704,12.453144902034476,4.200690821949747,34.4881119229447,112.09750501406825,219.47941456141976,0.3653234127522032,3.119363867609034,Green
2020-01-04,1.3898739257850397,16.536207217130848,2.6538097507751153,30.57446299365303,121.12732483899572,64.59882150104059,0.4501702833627158,4.957572184832765,Green
2020-01-05,1.6621251070699834,13.087984486222252,3.8242852455252057,28.483427074915713,4.297577228511159,134.17179258997464,0.4842101620738224,3.3103233964540184,Green
2020-01-06,6.255238001179665,10.394222273315219,0.3928579114583586,35.6077077083348,31.76612330309578,292.98633040540767,0.7483187844467314,1.7524605424958875,Green
2020-01-07,9.25076466236568,16.658421875650923,2.9501298580443143,37.017657036093645,95.2028708629808,245.97203952116269,0.7026419104663485,0.8690927594415582,Green
2020-01-08,4.268025725780325,13.599517551738634,2.7514208873466934,21.666593115274125,-30.188873820605867,253.97800719006017,0.8909276055260873,0.4181298773023713,Orange
2020-01-09,3.602978395383502,15.98474417802546,3.0498836086758008,15.197496631716579,101.10670686786801,258.2309714184236,1.0669959054249285,0.0,Yellow
2020-01-10,1.166544826707115,10.03060539777228,3.4782080395779507,34.535812120241516,-27.905414789051196,185.86360203646737,1.2430939705160462,4.893577651982691,Yellow
2020-01-11,2.366335337152318,16.487854208776554,4.590544850170709,16.412593218984494,132.8911464536116,223.1801771587435,1.517262148285456,0.0,Green
2020-01-12,2.2680769655140915,16.713841421688965,3.928410408880155,37.86852009247257,5.267858659270686,107.68827439028618,1.7085382686777728,0.0,Green
2020-01-13,2.385069351748166,14.511615858364541,1.0981899571745235,10.686338356657103,65.11986937347116,299.5338679718552,1.7291643444416065,0.608997048135013,Green
2020-01-14,1.834107925035035,11.356201454834496,4.12948134646048,37.6381354785791,-26.56929998474544,83.8866508963935,1.7705280341345302,0.7741604556506556,Yellow
2020-01-15,1.0984399951275021,13.773066996174181,0.6103983880754782,27.675489778361882,3.8986309324957418,177.00222099105585,1.826972423414488,2.204078659891863,Green
2020-01-16,5.426329190043673,15.878525360103648,3.1109929283753477,33.24226349538644,30.79100869742109,84.618503496358,1.7392958930537303,0.0,Yellow
2020-01-17,4.4592782092995344,14.881313431674364,4.413769041229716,21.954777611932137,47.40977533660286,33.62131516802195,2.004700019217033,0.0,Green
2020-01-18,1.1018719858144677,16.113156588624094,0.5056102710745197,39.7514887572664,-49.986500470685115,170.275744453103,1.9341210607629546,0.5371523284567865,Green
2020-01-19,3.4734245737815526,17.47826537212471,4.248463266551303,16.826542826988714,127.73115247609368,106.00460125984192,2.1140387736019433,0.671885583580989,Green
2020-01-20,2.6403658748305525,12.62708216338107,3.993103671151228,17.93030987914524,-48.465038088224574,174.96578025701632,2.306103175539268,0.5094506624691645,Yellow
2020-01-21,9.988996985323785,11.237326076616238,2.5188771691953535,11.542973321124189,104.736912598885,167.60354299949785,2.543589195791484,0.4828495858583589,Green
